Price,Close,High,Low,Open,Volume
Ticker,ADVENTHTL.NS,ADVENTHTL.NS,ADVENTHTL.NS,ADVENTHTL.NS,ADVENTHTL.NS
Date,,,,,
2025-11-13,328.6499938964844,328.6499938964844,300.0,313.0,765254
2025-11-14,312.25,345.04998779296875,312.25,345.04998779296875,475446
2025-11-17,296.6499938964844,296.6499938964844,296.6499938964844,296.6499938964844,41812
2025-11-18,281.8500061035156,281.8500061035156,281.8500061035156,281.8500061035156,14403
2025-11-19,267.75,278.5,267.75,267.75,597093
2025-11-20,258.20001220703125,275.0,256.0,263.0,419318
2025-11-21,245.89999389648438,265.3999938964844,245.3000030517578,252.0,412890
2025-11-24,234.25,252.1999969482422,233.60000610351562,240.10000610351562,166396
2025-11-25,241.14999389648438,243.0,228.85000610351562,233.60000610351562,141455
2025-11-26,238.89999389648438,245.89999389648438,233.10000610351562,244.39999389648438,305229
2025-11-27,226.5500030517578,263.29998779296875,221.0,240.85000610351562,795455
2025-11-28,235.4499969482422,244.0,222.0,228.0,534965
2025-12-01,222.5399932861328,235.0,217.9600067138672,234.5,278592
