Price,Close,High,Low,Open,Volume
Ticker,CLEAN.NS,CLEAN.NS,CLEAN.NS,CLEAN.NS,CLEAN.NS
Date,,,,,
2021-07-19,1563.6104736328125,1746.4796866816105,1533.822768251615,1731.0432936291347,13548172
2021-07-20,1713.83154296875,1735.9750400624982,1555.27586814486,1564.1530132360886,6980467
2021-07-22,1671.3199462890625,1754.7158488758753,1649.324423573658,1727.0980614849116,1731678
2021-07-23,1613.0760498046875,1677.8299207050861,1583.0909999308064,1676.7942055341873,1084767
2021-07-26,1629.942626953125,1664.9580358831317,1597.886266665091,1612.6815098749528,747225
2021-07-27,1654.3546142578125,1691.7865277066423,1597.9354739051441,1641.7786587760493,676427
2021-07-28,1612.23779296875,1651.938364519628,1606.3196953462589,1649.4231248684675,256379
2021-07-29,1600.3026123046875,1628.561548045233,1578.1591153786253,1613.6676954746442,351507
2021-07-30,1659.0399169921875,1703.2776695327316,1603.9029539340618,1607.2565664320864,1271880
2021-08-02,1643.7020263671875,1686.5589830875278,1637.3401204463255,1670.3828276962965,288875
2021-08-03,1649.8175048828125,1683.6985859139918,1643.8994079200215,1650.6558778717429,234059
2021-08-04,1622.79150390625,1660.5193720262403,1617.6131690662514,1657.0671487995746,172637
2021-08-05,1615.048828125,1630.9290322994284,1578.2579405894842,1628.413792706099,210820
2021-08-06,1634.331787109375,1656.080842161781,1600.8452691057596,1617.6132109263376,312272
2021-08-09,1580.526611328125,1658.053665228877,1554.1910049622188,1642.1734608681636,499926
2021-08-10,1499.695068359375,1606.7633561200066,1489.3877641136955,1595.8149006103006,643538
2021-08-11,1553.845703125,1571.7479711190788,1416.0033567403805,1499.2512808917475,678501
2021-08-12,1555.423828125,1576.1865336922433,1536.1407672424382,1558.4322423239953,153642
2021-08-13,1590.3406982421875,1612.681539987028,1549.0126273568271,1560.405013002739,289245
2021-08-16,1506.8460693359375,1599.4150653954287,1498.2648769252824,1597.8861755226842,539674
2021-08-17,1476.5159912109375,1530.81458506041,1469.6609096262957,1514.0466417962175,327596
2021-08-18,1523.5648193359375,1576.0879315926534,1449.9338031431416,1491.3604832329456,1365679
2021-08-20,1523.0223388671875,1577.172954053385,1505.7612214838641,1558.4323123229196,365365
2021-08-23,1464.3839111328125,1542.0095740216238,1445.9884675972453,1523.9100835182428,431169
2021-08-24,1442.9307861328125,1464.3838889249591,1426.310820234409,1464.3838889249591,399166
2021-08-25,1439.4783935546875,1469.6606622694924,1431.1930341966665,1455.8517701407857,419543
