Price,Close,High,Low,Open,Volume
Ticker,HALEOSLABS.NS,HALEOSLABS.NS,HALEOSLABS.NS,HALEOSLABS.NS,HALEOSLABS.NS
Date,,,,,
2025-11-17,1301.0,1340.5,1292.5999755859375,1312.199951171875,1603
2025-11-18,1333.4000244140625,1346.0,1270.0,1344.9000244140625,2167
2025-11-19,1289.4000244140625,1350.0,1263.0999755859375,1350.0,4297
2025-11-20,1355.199951171875,1367.5,1290.0,1290.0,3441
2025-11-21,1437.9000244140625,1539.0,1334.0,1360.0999755859375,14127
2025-11-24,1353.5,1447.0999755859375,1333.0999755859375,1425.0,8514
2025-11-25,1380.0999755859375,1430.0,1338.0,1384.0,3713
2025-11-26,1361.5999755859375,1428.0,1352.699951171875,1427.800048828125,3372
2025-11-27,1352.199951171875,1389.9000244140625,1322.300048828125,1370.0999755859375,3367
2025-11-28,1393.5,1416.5,1367.300048828125,1367.300048828125,2131
2025-12-01,1402.5999755859375,1425.0,1388.0999755859375,1393.5,1153
