Price,Close,High,Low,Open,Volume
Ticker,KDDL.NS,KDDL.NS,KDDL.NS,KDDL.NS,KDDL.NS
Date,,,,,
2016-04-12,178.49937438964844,183.80598242604407,178.45242084184574,183.80598242604407,896
2016-04-13,178.12367248535156,182.20929906520738,175.63472789136364,179.39162155421567,2181
2016-04-18,177.51318359375,182.86675951000703,174.6955204696551,182.86675951000703,970
2016-04-20,177.46621704101562,177.51317058366112,173.00490410444147,177.51317058366112,2621
2016-04-21,174.60159301757812,178.40544028720268,172.8170677717674,173.75628393919115,1501
2016-04-22,175.21206665039062,176.57395181000024,172.8170582909978,174.6015834389092,467
2016-04-25,177.56011962890625,187.65675731882402,173.75625839087817,173.75625839087817,17394
2016-04-26,176.33914184570312,180.33084668760583,175.72864410191744,176.66787475259656,20216
2016-04-27,172.30047607421875,178.45239226290713,169.52976683868005,176.3391342852625,8095
2016-04-28,158.63478088378906,178.17062163807665,155.91103958281536,178.17062163807665,13221
2016-04-29,168.68446350097656,171.8778125420911,157.78947034782374,159.6679169422396,5527
2016-05-02,167.22865295410156,169.06014596794887,164.92756646224143,169.06014596794887,7239
2016-05-03,168.96627807617188,171.69001990282476,164.8336972568396,169.06019970716997,4461
2016-05-04,159.62100219726562,169.06020638798051,158.25913123012165,168.96628475327088,25108
2016-05-05,158.5408477783203,169.06015482359712,157.31986689950165,169.06015482359712,3197
2016-05-06,157.695556640625,158.54085111297118,154.97181547980531,158.54085111297118,8405
2016-05-09,156.8032989501953,162.48559273153134,154.03258963580865,157.78948312895312,966
2016-05-10,161.54638671875,164.36404975085998,159.85578308840178,163.4248335827252,1468
2016-05-11,158.0712432861328,164.36403461631622,156.8502623799848,159.8557683689765,2079
2016-05-12,155.67623901367188,165.86681461477184,153.093387217886,165.86681461477184,10932
2016-05-13,153.4691162109375,159.6679883879732,153.09342962948867,159.6679883879732,2732
2016-05-16,155.6292724609375,163.42482432570839,154.97182118048374,154.97182118048374,5634
2016-05-17,154.5961151123047,160.41929841611457,153.09336937793128,160.41929841611457,3141
2016-05-18,157.31988525390625,158.4939127305184,152.24807435166906,158.44694465815522,1907
2016-05-19,155.67623901367188,156.85028104701857,154.31436826934518,156.85028104701857,553
2016-05-20,158.4469451904297,159.57401912617047,154.1265217375504,158.72871004243845,3847
2016-05-23,154.9718475341797,159.48011470792437,154.9718475341797,159.48011470792437,692
2016-05-24,165.63198852539062,168.120918261473,153.09336013143925,153.09336013143925,4735
2016-05-25,160.5602264404297,166.19556787337595,156.23980236681658,166.19556787337595,1808
2016-05-26,155.3474884033203,165.30325062818991,155.15964520357778,165.30325062818991,3037
2016-05-27,157.5546875,158.1651852956729,154.22044818850173,155.2536005392876,1601
2016-05-30,154.361328125,156.85027269664275,153.18730068186207,156.85027269664275,3533
2016-05-31,153.84474182128906,155.91103172806436,152.15413834707212,153.37513378059109,3744
2016-06-01,158.49391174316406,160.60715537681898,157.50772750673696,157.50772750673696,1259
2016-06-02,186.8584442138672,188.78385915182855,156.85027696331954,157.78949313229657,48092
2016-06-03,182.96066284179688,188.50208144391289,169.06016279511337,188.50208144391289,12366
2016-06-06,178.45240783691406,189.72307445152623,178.45240783691406,189.72307445152623,2371
2016-06-07,183.1485137939453,187.8446235721674,178.45240401572323,187.8446235721674,1226
2016-06-08,180.3308563232422,185.96618241761024,178.4524094492176,182.20930319726676,7957
2016-06-09,203.01309204101562,206.6290960648144,180.33085460652984,180.33085460652984,49439
2016-06-10,195.35841369628906,204.28103983863636,190.66230384939394,202.77827945765597,5681
2016-06-13,186.62364196777344,192.54074724208616,185.96617614104633,190.66230043146123,876
2016-06-14,186.20098876953125,194.37222736938637,179.43858891962867,184.60430678994575,3462
2016-06-15,197.75344848632812,206.6291070862884,183.3363706387872,185.0269743522615,24649
2016-06-16,197.00205993652344,201.93298099102284,187.84462266870577,197.75343284855947,7283
2016-06-17,194.2783203125,199.5849282665365,193.47997926288485,196.297656973928,8184
2016-06-20,200.6650390625,202.8722043338214,191.60152308689672,194.41920066248073,40670
2016-06-21,198.69265747070312,201.93298961144976,197.23686512763362,197.23686512763362,14821
2016-06-22,198.08216857910156,201.93298386347357,192.72859292157588,192.72859292157588,29891
2016-06-23,195.4523162841797,200.94678112228073,194.51310021731868,200.05451859491075,2416
2016-06-24,194.18438720703125,201.60425300555644,172.8640205021615,188.78385795051517,17267
2016-06-27,197.7064666748047,202.8721841704476,192.54073465145754,202.8721841704476,5000
2016-06-28,197.18991088867188,200.52415010799527,196.29764825682562,197.2838325063554,18014
2016-06-29,197.75344848632812,198.97444409264466,194.74792754510577,194.74792754510577,6348
2016-06-30,194.84185791015625,200.89983863191966,193.8556736505477,200.89983863191966,7693
2016-07-01,188.50209045410156,197.0490155281856,185.96617779420635,195.3584119308239,10575
2016-07-04,189.0186767578125,192.49379122655677,188.7838654438893,191.55457502627618,4317
2016-07-05,188.12640380859375,190.66230193828198,184.4164637012443,189.01866641388483,6089
2016-07-07,187.9854736328125,190.56833927748227,183.24239678328857,183.24239678328857,52035
2016-07-08,186.52972412109375,187.4689402815236,184.5573556564856,187.4689402815236,2284
2016-07-11,186.1070556640625,191.93023900626432,184.41645217404204,191.93023900626432,8693
2016-07-12,185.9661865234375,187.8446334389351,185.0269703295417,185.9661865234375,21523
2016-07-13,187.70376586914062,187.8446410400725,183.14853082515333,184.55736970071172,6647
2016-07-14,190.8501434326172,192.5407470129381,187.84462272811217,187.84462272811217,5901
2016-07-15,186.81149291992188,192.5407552028231,184.32254825058823,191.60152449482487,8143
