Price,Close,High,Low,Open,Volume
Ticker,LUXIND.NS,LUXIND.NS,LUXIND.NS,LUXIND.NS,LUXIND.NS
Date,,,,,
2015-12-01,684.919921875,684.919921875,652.3051101247179,652.3051101247179,106835
2015-12-02,719.1643676757812,719.1643676757812,702.6520609221849,712.4111173238819,56370
2015-12-03,755.11669921875,755.11669921875,755.11669921875,755.11669921875,26585
2015-12-04,718.1105346679688,792.4354925923625,717.3688367455574,792.4354925923625,100710
2015-12-07,682.2068481445312,718.2665746402654,682.2068481445312,718.2665746402654,35025
2015-12-08,648.0989379882812,648.0989379882812,648.0989379882812,648.0989379882812,4275
2015-12-09,615.6989135742188,615.6989135742188,615.6989135742188,615.6989135742188,1055
2015-12-10,584.9188232421875,614.8205880418097,584.9188232421875,584.9188232421875,68525
2015-12-11,558.9011840820312,575.7843401078767,556.2662268838809,575.7843401078767,19060
2015-12-14,586.841552734375,586.841552734375,546.5073423769393,556.2664020622418,31360
2015-12-15,700.1244506835938,704.2037887437693,624.3844269930147,624.3844269930147,145945
2015-12-16,781.2808227539062,795.363134665326,721.9750151121295,726.8545435456591,295065
2015-12-17,761.1478881835938,809.6113386642653,753.3991946026373,796.3390450722176,81190
2015-12-18,775.6889038085938,790.4836078407643,732.9051722079186,751.4473802930722,118860
2015-12-21,734.4861450195312,785.4967551477217,728.2500932853245,779.7486562647445,41245
2015-12-22,706.8192138671875,751.4473607922848,699.7243606338549,751.4473607922848,26075
2015-12-23,702.9156494140625,724.1220621742199,680.2063036865651,703.0425219259694,35370
2015-12-24,715.3486328125,721.194298311789,699.1485627679807,717.0954825383777,21880
2015-12-28,692.92236328125,718.2666061040139,685.2810048561705,718.2666061040139,22475
2015-12-29,678.6546020507812,697.7726222017507,676.3320011287225,697.7726222017507,16350
2015-12-30,667.226806640625,686.8424893732714,664.2014629252076,677.2786244566804,14215
2015-12-31,695.3131713867188,748.519561353492,665.5675891044087,665.5675891044087,53770
2016-01-01,703.7548828125,718.2372900568258,688.0135190927731,688.0135190927731,18400
2016-01-04,702.6325073242188,718.3446235024016,692.89298832365,692.89298832365,19810
2016-01-05,737.2675170898438,761.2065146611384,712.4112252597834,712.4112252597834,98970
2016-01-06,732.8076171875,755.3510151310935,730.3678529267406,741.493142217069,18710
2016-01-07,703.8816528320312,730.3774530132774,702.6520022976827,730.3677439919105,13260
2016-01-08,700.13427734375,714.3629996710115,696.9918894607757,714.3629996710115,7695
2016-01-11,703.4229736328125,729.0795698924861,667.7146212041515,698.748407267654,18190
2016-01-12,696.874755859375,713.8945535748637,694.2202613935174,712.2159648047003,5680
2016-01-13,686.0812377929688,710.4593428880006,668.6905912355185,710.4593428880006,11660
2016-01-14,674.0678100585938,696.7966311061995,664.9040417489731,670.1153445414325,9305
2016-01-15,657.0187377929688,688.7942247052094,647.0254730487588,673.570119753414,5105
2016-01-18,614.5765991210938,648.3917546016137,595.3024620307538,648.3917546016137,15325
2016-01-19,624.423583984375,633.9483744163429,609.1798808159159,614.8206448469299,6985
2016-01-20,598.6010131835938,622.237419468043,596.2783529682422,612.0489620854797,7905
2016-01-21,590.3936767578125,619.6903866206125,583.5916422278514,605.0615688649964,6900
2016-01-22,599.0596923828125,620.6760275453158,591.8770406991655,591.9843760310774,24515
2016-01-25,587.5733642578125,612.8688252060753,583.2012658925681,605.2567720925426,7425
2016-01-27,592.4429931640625,596.2782948522732,581.6397115089277,581.6397115089277,3490
2016-01-28,587.6123046875,593.3408660827142,585.5921728460595,593.3408660827142,5650
2016-01-29,589.3786010742188,595.3023546030138,585.5920829715802,589.6421146196973,3500
2016-02-01,589.70068359375,592.3746552088463,585.5628536873633,589.2517456078509,6450
2016-02-02,597.0005493164062,622.6278427832367,579.6879915568065,585.5434258149561,9450
2016-02-03,589.4860229492188,599.2060645933534,573.2469983244139,585.7483472243088,6600
2016-02-04,586.3632202148438,591.4964342783345,580.8981124329092,585.9338193145815,3525
