Price,Close,High,Low,Open,Volume
Ticker,MAGADSUGAR.NS,MAGADSUGAR.NS,MAGADSUGAR.NS,MAGADSUGAR.NS,MAGADSUGAR.NS
Date,,,,,
2017-07-28,175.920166015625,185.14986658147416,175.920166015625,185.14986658147416,7830
2017-07-31,167.1534881591797,167.1534881591797,167.1534881591797,167.1534881591797,487
2017-08-01,158.81895446777344,158.81895446777344,158.81895446777344,158.81895446777344,3908
2017-08-02,166.19654846191406,166.75217949514413,150.88571528789078,150.88571528789078,151992
2017-08-03,173.97544860839844,174.50020542833516,166.07307698137998,168.51169468452414,88016
2017-08-04,166.53610229492188,179.03787989876326,165.30135638556303,177.1857676289695,71855
2017-08-07,174.8397674560547,174.8397674560547,166.6904546404496,166.6904546404496,61567
2017-08-08,167.77084350585938,183.575559050668,166.10393723433108,181.1369415530856,94987
2017-08-09,159.40545654296875,162.36884410621258,159.40545654296875,160.6093282069934,49281
2017-08-10,151.4413299560547,159.28196483252685,151.4413299560547,159.28196483252685,56620
2017-08-11,144.09461975097656,153.7256324116415,143.87853955007205,144.465044836597,58916
2017-08-14,136.90223693847656,150.63877332938804,136.90223693847656,146.93453568511683,81599
2017-08-16,130.08029174804688,130.08029174804688,130.08029174804688,130.08029174804688,16465
2017-08-17,123.59786224365234,129.61723299941352,123.59786224365234,123.59786224365234,112611
2017-08-18,117.42415618896484,122.20878157204108,117.42415618896484,118.59715354884496,33790
2017-08-21,112.5468978881836,116.55982487854021,111.58998081106813,111.58998081106813,43486
2017-08-22,114.33731079101562,115.8807333996979,111.2813134517803,111.2813134517803,26808
2017-08-23,113.56556701660156,117.88717068875806,112.42343078731561,114.52249731214701,5520
2017-08-24,112.08389282226562,115.91160125448651,109.12050522349817,109.58353329938473,8850
2017-08-28,106.7127456665039,113.96686912039276,106.49666547759118,110.57132141055168,49032
2017-08-29,102.39115905761719,108.62661792529212,101.40336091655927,106.71276356053593,40895
2017-08-30,106.99056243896484,107.48445813541905,98.77951516275425,102.48374607464898,27519
2017-08-31,112.3308334350586,112.3308334350586,107.54620781428218,109.15137224086709,30528
2017-09-01,117.91805267333984,117.91805267333984,116.65243255005537,116.65243255005537,25214
2017-09-04,123.81396484375,123.81396484375,123.81396484375,123.81396484375,13069
2017-09-05,129.98768615722656,129.98768615722656,125.94389719639967,129.98768615722656,70940
2017-09-06,135.38966369628906,136.470064599448,130.26547467152284,136.470064599448,79969
2017-09-07,130.4815673828125,140.11258006479568,128.6294551390995,140.11258006479568,88845
2017-09-08,125.88214111328125,127.79600175957688,123.96829365547376,124.12263853228677,55503
2017-09-11,125.91304016113281,130.20377055219578,123.53615760478719,125.32653478913326,38162
2017-09-12,125.38823699951172,128.96899042253338,124.70913541332862,128.96899042253338,29195
2017-09-13,131.65457153320312,131.65457153320312,125.94387700722179,128.41336867064425,22779
2017-09-14,138.2295684814453,138.2295684814453,138.2295684814453,138.2295684814453,15943
2017-09-15,145.11328125,145.11328125,136.4392124003831,144.31069578574056,97343
2017-09-18,152.36741638183594,152.36741638183594,147.5210423777661,150.02139522816364,92933
2017-09-19,159.96109008789062,159.96109008789062,154.3430046500487,157.42986289666118,48948
2017-09-20,156.3494415283203,166.69042915824434,154.3429845882498,165.45568338239613,43877
2017-09-21,161.38104248046875,163.60359308587383,151.25614687263285,151.25614687263285,59875
2017-09-22,154.15780639648438,158.47941079535664,153.324346583279,155.5777583594024,20934
2017-09-25,146.4715118408203,148.16929249872643,146.4715118408203,148.16929249872643,21714
2017-09-26,139.15565490722656,147.11974840454312,139.15565490722656,147.11974840454312,38306
2017-09-27,132.64234924316406,144.89718354367832,132.2101889060602,144.15634667184807,33236
2017-09-28,132.8584442138672,138.2913232806744,126.56125756504409,126.56125756504409,26447
2017-09-29,134.40187072753906,139.49518544126568,129.64810681113093,129.64810681113093,33049
2017-10-03,136.22315979003906,138.9087190472104,130.6976699872002,130.6976699872002,28138
2017-10-04,135.8218231201172,136.43920259679692,130.5741635107769,131.0680591790282,9459
2017-10-05,131.5619659423828,137.05658044347348,129.03075207768933,132.7349764962086,13738
2017-10-06,132.73495483398438,136.99482277086582,128.10466187800628,134.27839021547254,6822
2017-10-09,132.92018127441406,136.13050963630405,129.7098397240369,131.50021642475315,5958
2017-10-10,137.39613342285156,138.9086948280814,128.28990392764516,129.6481204482715,28621
2017-10-11,134.58709716796875,143.23030560596186,131.50023889561257,141.9338243402629,10281
2017-10-12,136.71705627441406,140.1434658485138,132.88934729068197,137.67398681746988,10595
2017-10-13,133.22885131835938,137.67393838756135,130.26546433505357,132.7349556858895,16555
2017-10-16,131.9015350341797,137.30354017613078,128.4133774903102,130.57417954709067,10238
2017-10-17,128.6912078857422,132.73499694339313,126.56127983583735,129.70987371430212,7798
2017-10-18,130.32723999023438,131.31503146103745,125.63521072118586,125.63521072118586,52350
2017-10-19,134.27842712402344,136.8405155266498,124.12265671388882,130.88287890221844,11933
2017-10-23,133.5993194580078,136.99486786417324,128.59861302538422,133.96974459903376,10071
2017-10-24,133.87710571289062,135.8218273862374,130.2654778640341,132.11760316376046,13664
2017-10-25,129.1233367919922,132.73496450573796,128.56770581710435,131.53109299731852,25089
2017-10-26,126.77735137939453,133.2906189206685,126.59213222953495,126.86996095432433,5342
2017-10-27,132.98193359375,133.1054042265626,126.90081369464048,127.17862921271328,15919
2017-10-30,132.36456298828125,135.82184644833703,130.8828757290387,135.79098538229496,16399
2017-10-31,137.95179748535156,138.90871480593495,130.88288516018918,130.88288516018918,21630
2017-11-01,136.7787628173828,144.83546531050487,132.734974445144,138.9704390089815,22852
2017-11-02,136.68617248535156,141.37820209989377,135.821851587633,136.43923119371215,16609
2017-11-03,135.11184692382812,139.52606005443698,133.3832054951687,137.05656853106998,21124
2017-11-06,131.2841796875,136.99487565862503,129.64814731100162,135.20449836554332,27160
2017-11-07,124.74000549316406,135.4514054765465,124.74000549316406,135.4514054765465,27043
2017-11-08,119.64669799804688,122.23966045252935,118.53542272248765,122.20878619967115,60834
2017-11-09,117.23892974853516,118.53541084587596,113.68905044997422,117.36241355910647,106320
2017-11-10,120.57275390625,123.07310678593575,112.42344146630457,112.42344146630457,18569
2017-11-13,116.25115203857422,119.77017068886371,115.44856652386096,115.69552098549937,14058
2017-11-14,119.49234008789062,120.38753506134704,114.24468043361324,120.38753506134704,6225
2017-11-15,113.87425994873047,118.50455349521354,113.53470913312474,114.24468501506769,12972
2017-11-16,117.97978973388672,119.09106499112497,109.08963383569154,109.95395463960281,12835
2017-11-17,123.87569427490234,123.87569427490234,122.054443042676,122.85702855498742,13280
2017-11-20,130.04942321777344,130.04942321777344,127.79602454234673,128.99989633222447,7715
2017-11-21,136.3157196044922,136.53179978492628,132.8893109669607,136.50093872400004,40864
2017-11-22,134.8340606689453,137.64310359954834,129.70987058179722,137.64310359954834,9233
2017-11-23,137.3035430908203,138.84696562786215,130.88287210173297,130.88287210173297,21929
2017-11-24,140.60646057128906,142.61291748297558,137.67394763793857,138.90868020783225,23774
2017-11-27,137.11831665039062,141.99556484294314,134.58708958074686,141.99556484294314,8846
2017-11-28,139.09393310546875,140.35954023179318,132.85846748957843,132.85846748957843,18009
2017-11-29,132.88931274414062,138.3839268882282,132.2101979443425,137.05657153845863,16986
2017-11-30,133.75364685058594,135.2044729677455,129.70985827428743,129.70985827428743,12096
2017-12-01,127.08605194091797,135.76012237576373,127.08605194091795,135.76012237576373,14154
2017-12-04,122.8570327758789,127.79601665563686,121.68403531465262,126.56127068569737,22204
2017-12-05,123.0113525390625,126.56124482882277,118.22672772011231,121.62226195811509,23304
2017-12-06,123.320068359375,126.56127160841307,120.3875549021948,126.56127160841307,10785
2017-12-07,120.078857421875,126.40691861884629,119.15280129408517,126.40691861884629,10480
2017-12-08,123.50526428222656,125.94388178730419,121.00491146149349,123.4744032186432,22295
2017-12-11,122.39399719238281,128.104678511879,119.89363128593986,128.104678511879,18481
2017-12-12,119.73931121826172,124.0917765061154,117.91805995633557,124.0917765061154,6991
2017-12-13,118.59716033935547,122.79529387710821,117.82544907631643,119.77017095488712,10665
2017-12-14,116.55984497070312,122.11619521718339,116.06594922255881,122.11619521718339,13101
2017-12-15,114.21382904052734,122.20879733713406,113.44211772212236,122.20879733713406,13626
2017-12-18,113.04080963134766,117.23892946855334,106.00276657934374,114.21380691531587,23646
2017-12-19,116.59069061279297,120.23319270479058,111.49737572251196,116.68330017472182,38749
2017-12-20,117.11546325683594,121.00490668602974,115.13986729138541,115.44855704596884,12462
2017-12-21,115.20162963867188,117.2698222282739,108.1018435608898,116.25115646651012,21088
2017-12-22,113.68907165527344,116.0659541104013,113.04083098569312,114.21382849125024,16528
2017-12-26,112.88646697998047,120.38753819970164,110.50957833287575,117.91804658443417,14400
2017-12-27,111.12696075439453,116.52896588265322,109.89222143525294,116.52896588265322,23056
2017-12-28,106.24972534179688,111.09609941291835,105.01497943148964,105.47800749929372,31850
2017-12-29,104.706298828125,110.818273430117,104.18152883591846,104.95324669741557,30585
2018-01-01,106.86709594726562,115.17074651503503,105.57061474822208,115.17074651503503,24088
2018-01-02,106.06451416015625,109.24398195268553,104.95324546428304,106.8053577593235,6993
2018-01-03,107.23751831054688,108.4105289201937,105.13845814644586,105.13845814644586,3899
2018-01-04,105.7249526977539,107.42272663307358,102.48374971057392,107.42272663307358,28009
2018-01-05,106.80535125732422,109.27484295936884,105.94103048045746,105.94103048045746,16899
2018-01-08,106.99056243896484,109.61439239346343,105.07670837239968,107.4227228219233,10032
2018-01-09,105.81756591796875,108.22531584951727,105.57061805245667,106.24972633117603,17127
2018-01-10,106.62014770507812,107.94750323361706,104.36674260160098,104.36674260160098,6279
2018-01-11,104.6754150390625,107.39185454229325,104.33586422256121,106.31145359116353,21817
2018-01-12,103.84196472167969,106.40405265964093,103.37893010739171,106.40405265964093,12311
2018-01-15,102.2059326171875,104.86063028161608,101.24900886185671,103.8419712115528,33898
2018-01-16,100.66250610351562,101.866377742091,98.77951960894278,101.37248202340595,24103
2018-01-17,100.72425079345703,101.21814655810533,96.61872658848601,100.2920903508285,5653
2018-01-18,97.0508804321289,101.09466904012228,94.14923476931153,101.09466904012228,25020
2018-01-19,95.0752944946289,98.4708426106499,94.55053108488686,96.92741344725259,34283
2018-01-22,92.29711151123047,95.07528640670813,91.98842834250819,95.07528640670813,20356
2018-01-23,92.69841003417969,93.68620810540402,91.49453175308547,93.68620810540402,24306
2018-01-24,90.93888854980469,93.59358603242485,90.19803844677519,93.59358603242485,16167
2018-01-25,89.42633819580078,91.34019240319074,86.61729549987649,90.1363141359755,31427
2018-01-29,87.1420669555664,91.2475912756768,87.08033163181526,90.13632247693008,9478
2018-01-30,88.7472152709961,90.13629926312188,86.43206868987626,87.66681441237264,11975
2018-01-31,92.94535064697266,93.22316615390291,88.90156229390256,89.36459693111189,33390
2018-02-01,91.37105560302734,94.05662093756668,88.53114538668004,93.84054074073326,3897
2018-02-02,85.35167694091797,92.91448375846767,84.61083338489533,87.69769142635603,11319
2018-02-05,88.96330261230469,90.13630652723859,82.75871244011032,84.57995692246021,25943
2018-02-06,91.83409118652344,97.85346953406163,80.5979200295841,87.54335455543745,25306
2018-02-07,96.46437072753906,98.77951757689631,95.07528657447129,95.07528657447129,54304
2018-02-08,104.21238708496094,107.33011931455542,98.16214175382052,101.86637264717774,25841
2018-02-09,107.82401275634766,114.09033814699711,96.27915993662512,101.43421014765966,80088
2018-02-12,108.16358184814453,111.74434242726211,107.5770765390122,110.91088265536747,22671
2018-02-14,107.7005386352539,117.30067005806946,105.3545307732576,111.74433356568531,21303
2018-02-15,101.5268325805664,109.76874834497347,100.75511470704183,109.76874834497347,15435
2018-02-16,100.56990814208984,106.18799402183555,96.92741855358577,106.18799402183555,7700
2018-02-19,98.37821960449219,103.65675361252617,93.84053571405649,103.65675361252617,10299
2018-02-20,98.71778869628906,107.23751989775583,95.16789574999437,97.54477806928067,4293
2018-02-21,96.74220275878906,98.71779238981789,95.90874954374277,98.71779238981789,3022
2018-02-22,97.26696014404297,98.77952158270301,95.75439870538293,95.75439870538293,4244
2018-02-23,101.86639404296875,103.7185131757844,95.75441211489445,95.78527977797123,15955
2018-02-26,103.9963150024414,108.65747658481314,101.89725484224427,101.89725484224427,20931
2018-02-27,103.84196472167969,106.12623716646323,102.48374172274055,105.26191643724916,16753
