Price,Close,High,Low,Open,Volume
Ticker,PUNJABCHEM.NS,PUNJABCHEM.NS,PUNJABCHEM.NS,PUNJABCHEM.NS,PUNJABCHEM.NS
Date,,,,,
2007-03-08,128.80239868164062,136.17461640526278,116.54668750418715,135.98679221416552,53345
2007-03-09,124.71717834472656,135.7050591617019,117.39191969005356,135.7050591617019,3281
2007-03-12,126.26675415039062,129.60068775205517,124.15369945878103,124.15369945878103,1560
2007-03-13,127.86328125,131.24417448210335,123.02673958608614,128.52068750573676,375
2007-03-14,122.18152618408203,125.75022938349915,115.74844270342568,115.74844270342568,967
2007-03-15,123.40238189697266,139.83725087343765,123.02673348096657,139.83725087343765,2460
2007-03-16,120.30325317382812,123.96587558405662,120.30325317382812,122.1815240160108,436
2007-03-19,120.53803253173828,122.08760018669575,120.53803253173828,122.08760018669575,103
2007-03-20,116.59365844726562,118.80062514944609,114.10494826606877,117.62670592860177,527
2007-03-21,116.87538146972656,117.29799664018967,97.76398016081033,114.95015846550626,1658
2007-03-22,115.9362564086914,117.48583117343792,114.57451301347928,115.60756046829891,554
2007-03-23,117.39192199707031,120.209328125,114.57451586914063,114.57451586914063,1066
2007-03-26,114.57450866699219,115.6545157144829,114.57450866699219,114.8562521280885,106
2007-03-28,116.1710433959961,117.34496261853054,115.51365149739051,115.51365149739051,289
2007-03-29,123.82499694824219,125.13978065650865,112.74319737118324,112.74319737118324,846
2007-03-30,130.02328491210938,130.1641638111016,125.37456784672746,125.46848711272227,430
2007-04-02,124.24761199951172,128.56762609243125,117.4858330537702,124.24761199951172,171
2007-04-03,122.08759307861328,127.6284858016924,120.67889008155237,127.58154049917805,224
2007-04-04,123.0267333984375,127.67545061121972,114.57451507335401,114.57451507335401,168
2007-04-05,123.96586608886719,126.3137044617624,122.08759539055102,122.08759539055102,50
2007-04-09,126.12586975097656,126.73630194504973,122.55715285545564,125.7971666741267,260
2007-04-10,127.44066619873047,132.32416723202903,123.54326016496059,132.18330265926855,947
2007-04-11,123.30847930908203,130.16417050742174,120.35019423887272,126.78327737863074,877
2007-04-12,117.48583221435547,125.79717872522679,114.66842613168491,125.79717872522679,985
2007-04-13,118.80061340332031,124.90499274815495,118.37800539161444,124.90499274815495,326
2007-04-16,123.49629211425781,124.81107580397958,121.38323768644732,121.38323768644732,3375
2007-04-17,115.23190307617188,123.91890495037902,111.80406482540383,120.25628286517293,2491
2007-04-18,116.92234802246094,118.75365904113652,113.77624611510431,116.40582072743248,1833
2007-04-19,119.64584350585938,120.16236364278927,117.39191726143305,117.39191726143305,963
2007-04-20,120.63192749023438,123.9658607008542,118.04930539229991,118.04930539229991,1716
2007-04-23,119.55193328857422,121.94673130445062,119.36410191897627,120.20932516958172,533
2007-04-24,120.9136734008789,121.3362814321888,120.67888956903253,120.9136734008789,157
2007-04-25,119.83366394042969,121.14845480543339,118.80061653401026,118.80061653401026,182
2007-04-26,120.7258529663086,122.08759636747057,118.80062261911559,120.02150144880396,1314
2007-04-27,118.98844146728516,124.43542915676461,118.33104961322522,123.96586149956927,1100
2007-04-30,122.93280792236328,123.96586250862896,121.10149691040844,121.10149691040844,1075
2007-05-03,123.07369995117188,123.96587573629041,121.14846946955653,123.96587573629041,1005
2007-05-04,120.53803253173828,123.96587095879877,118.61280212431893,123.96587095879877,791
2007-05-07,117.90845489501953,121.14846922932482,117.86149525798655,120.67890151913365,1098
2007-05-08,116.59365844726562,118.143233251787,116.21800286358857,118.143233251787,1116
2007-05-09,118.28408813476562,118.5658315906976,114.85625002278431,114.85625002278431,122
2007-05-10,116.49974822998047,119.73976246598754,115.88930879224502,119.73976246598754,506
2007-05-11,115.09103393554688,119.22322352547785,114.57450665428864,118.3310478560686,1259
2007-05-14,116.45278930664062,116.45278930664062,114.85626199667628,115.51365390900644,30
2007-05-15,113.82319641113281,116.59364986747636,113.63537221563288,115.51364283076731,993
2007-05-16,122.4162826538086,123.96585004737425,113.68232217082124,113.68232217082124,2383
2007-05-17,117.72061157226562,123.91890328512879,117.39191564147627,119.41105802351645,2045
2007-05-18,120.25628662109375,121.75889461038675,117.90844820338427,117.90844820338427,848
2007-05-21,116.45278930664062,121.05454702302063,116.45278930664062,118.33106010190903,959
2007-05-22,117.39192199707031,117.39192199707031,112.6962451171875,112.6962451171875,315
2007-05-23,115.27886962890625,119.176282947534,114.9501736739692,117.39192426568864,1011
2007-05-24,116.73452758789062,118.4249669292513,115.51364875937946,117.39191947091409,790
2007-05-25,117.39192199707031,119.27019274902344,116.64061083027534,118.04931389424019,933
2007-05-28,125.32762145996094,128.70851477215743,115.65453073794366,122.04064742368584,14341
2007-05-29,121.57108306884766,124.99893611387492,120.86673147015206,123.02674590549924,4948
2007-05-30,126.07892608642578,130.53981918818013,119.27019451006387,119.27019451006387,4414
2007-05-31,125.13978576660156,126.78327263408039,123.96586657554526,126.78327263408039,421
2007-06-01,122.60414123535156,122.65110087592304,122.32239772199317,122.32239772199317,366
2007-06-04,119.36410522460938,122.08759925641314,118.94149717012013,122.08759925641314,517
2007-06-05,119.27019500732422,122.08760118859959,117.53279596187797,122.08760118859959,2797
2007-06-06,121.43021392822266,125.65632336194221,116.82844888960996,116.82844888960996,1861
2007-06-07,119.41107177734375,125.84414806245483,119.27020002934152,125.56240456645037,402
2007-06-08,117.72061157226562,120.2093216168717,117.48582774098267,117.53278737325283,532
2007-06-11,120.81975555419922,122.04063436014361,118.19018090567643,119.36410007868679,1974
2007-06-12,114.10494995117188,117.39192381807806,110.16058417689821,117.39192381807806,3607
2007-06-13,113.44754791259766,119.45800814330357,111.80406112591287,119.27018394798168,612
2007-06-14,118.94149017333984,119.22322647141465,117.39191545630977,118.00235484968937,393
2007-06-15,114.4805908203125,120.20931453302003,113.68232727399835,120.20931453302003,1105
2007-06-18,114.24581909179688,114.57451503799739,113.82320387665256,114.48060293408786,217
2007-06-19,115.09103393554688,115.70146614880913,112.69623605339866,114.57450665428864,1568
2007-06-20,116.03018188476562,119.27019615849034,113.68234337770872,119.2232365223354,1834
2007-06-21,112.6023178100586,118.94148074204442,92.97438966912544,92.97438966912544,2075
2007-06-22,118.47191619873047,122.08758556911684,113.68232773633335,118.33104447468247,8809
2007-06-25,116.1710433959961,119.73976069851456,114.90321206866574,119.73976069851456,1310
2007-06-26,115.32582092285156,117.29800367485585,115.23190165820485,115.51364512207714,191
2007-06-27,114.10494995117188,116.87539648726475,114.10494995117188,116.87539648726475,336
2007-06-28,113.6353988647461,115.93627804186106,112.83713509911654,113.35365534038957,1401
2007-06-29,114.01103210449219,115.51364722069769,112.79015329224355,112.79015329224355,271
2007-07-02,114.29277038574219,115.74843305898857,113.6823381340913,115.09104117334876,487
2007-07-03,113.35364532470703,118.00237007562576,112.69625337934147,118.00237007562576,893
2007-07-04,113.16580963134766,116.12408741571336,111.75710660689106,112.79015405848574,945
2007-07-05,111.75711059570312,113.96407731311561,111.75711059570312,113.96407731311561,198
2007-07-06,114.1988525390625,116.35886662329773,111.75710216016647,111.75710216016647,1262
2007-07-09,113.11886596679688,114.57452883024436,111.09973041206247,114.57452883024436,1681
2007-07-10,110.39537048339844,112.69624937546706,109.83188350449343,112.69624937546706,5374
2007-07-11,111.89796447753906,115.41972160231452,110.67708580827028,112.6492683651379,2511
2007-07-12,114.6684341430664,115.37278571294401,111.75711575391259,111.851027863556,3253
2007-07-13,111.28753662109375,115.5136456067049,111.19362452108696,113.63537494643327,737
2007-07-16,111.28753662109375,112.69623961629746,93.91353301358122,93.91353301358122,1539
2007-07-17,112.79016876220703,115.4197509500079,110.34841796784055,110.86494534349127,2846
2007-07-18,113.6353988647461,113.82322310429348,110.91190440109632,110.9588640435009,2045
2007-07-19,115.32582092285156,116.45278044827289,111.47536035342185,111.47536035342185,1105
2007-07-20,114.85625457763672,115.88930201529865,111.38144953182152,112.69624043658851,2677
2007-07-23,113.87015533447266,115.51364211249597,108.04751932977497,108.04751932977497,1706
2007-07-24,117.90845489501953,120.58498224506769,113.63538586626592,114.1049535764571,4628
2007-07-25,116.45278930664062,120.86672280950758,115.60756601576296,117.39192470427483,2822
2007-07-26,116.03018188476562,121.80585888009799,114.71539088780686,120.20933156131309,3504
2007-07-27,113.40059661865234,114.57451583830712,109.22144706269502,114.57451583830712,1598
2007-07-30,113.0718994140625,124.24761169403415,110.81797310435687,124.24761169403415,1070
2007-07-31,111.42840576171875,113.35362884469477,110.81796637832292,112.69623699490467,1230
2007-08-01,109.9727554321289,114.43364864399393,108.98666754747423,112.69624956290605,2446
2007-08-02,108.376220703125,112.03884999708036,108.00056513053372,109.55013988932646,718
2007-08-03,108.32926177978516,110.39536386006392,107.0614304833835,107.0614304833835,640
2007-08-06,107.15533447265625,112.69623408132827,105.69967908145925,106.12228709325079,975
2007-08-07,106.35707092285156,108.47012531204729,105.41793563876458,105.65271945978633,2447
2007-08-08,109.87882995605469,110.81796525482439,107.06142405974559,108.18838355225574,438
2007-08-09,109.92578887939453,112.55536340000242,109.87882924874485,110.91187663773486,1885
2007-08-10,108.32926177978516,109.87883654873569,105.93447092325627,109.87883654873569,392
2007-08-13,108.65796661376953,109.40927782536534,108.00057467739926,109.40927782536534,1110
2007-08-14,108.98665618896484,111.71014287086761,108.47012889961978,111.71014287086761,1018
2007-08-16,110.33039093017578,110.37838446122933,108.69871339334107,110.09043792047746,354
2007-08-17,109.22660827636719,112.15403047592258,106.82707828191963,112.15403047592258,4626
2007-08-20,105.86727142333984,112.77791521370396,104.9074593789679,112.77791521370396,1120
2007-08-21,104.42755126953125,106.73109427175395,104.1396047328611,105.48334303268075,872
2007-08-22,101.21217346191406,106.39515977722061,98.90863049758626,98.90863049758626,1159
2007-08-23,109.8025131225586,117.09708411080575,102.6999016381657,103.65971380300837,12159
2007-08-24,115.03347778320312,119.92851798876356,110.37839060068768,110.37839060068768,19978
2007-08-27,118.77674865722656,129.47864782952826,117.14507099872624,127.46305118511158,41717
2007-08-28,115.80131530761719,119.49658991679249,113.59374485393627,115.1774360643783,7920
2007-08-29,114.5055923461914,117.91292108270132,110.57035667564094,110.57035667564094,7673
2007-08-30,113.54576873779297,116.61716437662302,112.92188943912238,116.61716437662302,1796
