Price,Close,High,Low,Open,Volume
Ticker,STAR.NS,STAR.NS,STAR.NS,STAR.NS,STAR.NS
Date,,,,,
2005-12-01,84.15328216552734,85.60862834301264,78.41750550486532,78.41750550486532,99648
2005-12-02,83.12598419189453,85.55156138656487,82.78355196199755,85.26620430823075,23946
2005-12-05,81.89891052246094,84.18180398909438,81.21404621836608,84.18180398909438,24772
2005-12-06,81.81331634521484,83.04037132443038,80.90016067180275,81.2711257861235,10472
2005-12-07,86.193603515625,87.29224612737686,81.61354589032793,81.67061168385007,212906
2005-12-08,85.52300262451172,88.30528233073905,85.0236255534685,87.74883012538848,309014
2005-12-09,90.38843536376953,91.74390222091014,86.49324153227043,87.7488385694343,752326
2005-12-12,90.33135223388672,92.37169256893462,89.1756344586645,91.03048761057399,208795
2005-12-13,88.83322143554688,91.03050718907286,88.49078923286528,88.50506035455679,68162
2005-12-14,87.73456573486328,89.71783107182483,86.46470694237127,89.68929817235171,43006
2005-12-15,88.07698822021484,89.74635412079168,87.32077773966788,88.61917862885926,95335
2005-12-16,90.0174789428711,90.88783054458246,85.89399349620454,88.74761066396091,71754
2005-12-19,91.10184478759766,93.59875848083792,89.4610115195879,90.31710128455686,257005
2005-12-20,89.161376953125,91.60121532915643,88.61918649634568,91.60121532915643,45033
2005-12-21,86.90702056884766,90.16014478499746,85.90824764407769,89.17564298021335,88155
2005-12-22,85.9367904663086,89.30406498568364,85.60862008257766,86.75006685598724,99912
2005-12-23,84.86668395996094,87.3207936855784,84.23888540791133,86.72153737481928,58539
2005-12-26,81.4280776977539,85.03790559799462,81.04283213310191,85.03790559799462,44583
2005-12-27,84.5955810546875,85.1235003939488,81.32818586311409,81.32818586311409,50244
2005-12-28,84.65267181396484,87.03544484002904,83.93926515039648,84.46718458707875,51009
2005-12-29,86.50752258300781,87.36360307958809,84.76681000706255,86.6930098038466,122880
2005-12-30,88.13407135009766,89.28978918298053,85.89398194126481,87.34932790200013,73308
2006-01-02,87.77738189697266,89.83199377645678,87.06397525381121,87.60616579697219,32007
2006-01-03,89.18992614746094,90.80222669306846,87.62043896759401,89.03298116537003,69626
2006-01-04,89.13286590576172,90.43125788879495,87.62044443961705,89.88906729909401,28075
2006-01-05,91.3729476928711,92.28610333622208,88.26249698123111,88.4622553236843,172453
2006-01-06,90.41697692871094,93.02803146378965,89.03296784213099,92.69987042680161,79917
2006-01-09,93.76997375488281,94.74020445491165,89.88905095476741,89.88905095476741,163558
2006-01-10,92.20046997070312,95.85310088093001,91.88657076142172,92.42876115379292,209938
2006-01-12,100.44745635986328,103.12986680594294,89.90332981450533,92.17196179652228,411092
2006-01-13,97.85066223144531,105.58397551207293,97.12299382161612,103.48655965132244,316260
2006-01-16,98.03614044189453,101.30353577463404,97.05163863813374,98.7352758846639,218872
2006-01-17,93.61302947998047,100.86122688282042,92.45731156767701,98.42137899459517,156593
2006-01-18,94.76874542236328,95.59629292839236,91.31586287754146,91.31586287754146,88725
2006-01-19,100.4189224243164,101.58890219728369,91.34440392928305,94.7402116368073,201933
2006-01-20,98.20735931396484,102.15961908183868,97.16579168019159,101.3035386540082,126999
2006-01-23,98.66394805908203,99.44869161453849,92.74268425020324,92.74268425020324,56076
2006-01-24,100.30476379394531,102.38790836160584,98.8208848541057,99.30600020056153,142213
2006-01-25,98.00761413574219,104.12862679153302,97.0516451678667,100.30476959950867,143768
2006-01-27,101.2607192993164,102.73033626420813,96.62358655161276,98.02185726516316,99983
2006-01-30,97.77933502197266,101.5461175370072,96.16703438745508,101.30355514979854,75026
2006-01-31,98.50700378417969,99.81966688415856,98.1645715563139,99.02066146571839,28160
2006-02-01,97.62238311767578,102.75890400767614,92.74269574396762,92.74269574396762,149510
2006-02-02,98.22163391113281,101.87426565855968,97.02311193000709,97.02311193000709,68293
2006-02-03,97.52249145507812,99.59137440525892,96.46665263788356,98.73528458657242,28793
2006-02-06,104.64228057861328,105.58397847514703,97.73652402325045,98.72102594509303,208447
2006-02-07,104.02877807617188,107.01081746120606,102.75891879400264,105.58400382206578,105264
2006-02-08,104.19996643066406,107.01078892377534,102.75889139045977,105.0132522296265,229058
2006-02-10,103.15836334228516,107.58147545499386,102.21666579384967,104.9846833132624,295993
2006-02-13,104.3141098022461,106.04055111555583,103.01570870224012,105.29860229284472,229837
2006-02-14,111.66216278076172,113.26019182587768,104.15714218791959,104.15714218791959,514040
2006-02-15,107.49591064453125,125.38811521825001,106.15470535520717,125.38811521825001,351859
2006-02-16,106.3116455078125,109.57905052923117,104.15716380927165,108.46613654609256,169686
2006-02-17,102.65898895263672,107.86684495860055,102.15960255735321,107.46733771032112,70784
2006-02-20,102.38790130615234,104.15714648774933,99.3059933574794,103.62922715709459,84141
2006-02-21,102.88729095458984,104.15714974373422,102.4449796453638,103.24399422588425,78929
2006-02-22,104.15714263916016,106.44004528767486,102.77314300708906,103.4294743663757,197466
2006-02-23,102.27377319335938,105.18446543640368,100.50452778997102,104.95617420052473,166106
2006-02-24,102.30231475830078,103.8860730829149,101.30355102396221,101.30355102396221,126348
