Price,Close,High,Low,Open,Volume
Ticker,AGROPHOS.NS,AGROPHOS.NS,AGROPHOS.NS,AGROPHOS.NS,AGROPHOS.NS
Date,,,,,
2017-03-15,20.03697967529297,20.278389068971197,20.03697967529297,20.278389068971197,24000
2017-03-16,20.761207580566406,20.761207580566406,19.795570018679598,20.471517048723356,240000
2017-03-17,20.568078994750977,20.568078994750977,19.31275092157179,19.31275092157179,12000
2017-03-20,20.568078994750977,20.568078994750977,20.568078994750977,20.568078994750977,0
2017-03-21,20.27838706970215,22.2096620287214,19.98869656257219,21.43715278183663,240000
2017-03-22,21.19574546813965,21.19574546813965,21.19574546813965,21.19574546813965,6000
2017-03-23,21.19574546813965,21.19574546813965,21.19574546813965,21.19574546813965,6000
2017-03-24,21.19574546813965,21.19574546813965,21.19574546813965,21.19574546813965,0
2017-03-27,20.374954223632812,21.24402771639661,20.278390092924035,21.24402771639661,120000
2017-03-28,19.940414428710938,20.278387929226188,19.843850308305523,19.843850308305523,66000
2017-03-29,21.00261688232422,21.05089802349163,19.843851076231616,19.843851076231616,168000
2017-03-30,21.0508975982666,21.244025842650032,20.761207073498895,20.954335317882325,48000
2017-03-31,21.24402618408203,21.726844960992988,20.761207407171078,21.002616795626555,342000
2017-04-03,21.919973373413086,22.06481863921474,21.244026343928724,21.678563983141167,246000
2017-04-05,21.77512550354004,22.113099006451062,21.72684436389879,22.01653488536114,42000
2017-04-06,21.485435485839844,21.533716626613128,21.485435485839844,21.533716626613128,18000
2017-04-07,21.485435485839844,21.485435485839844,21.485435485839844,21.485435485839844,0
2017-04-10,21.726844787597656,21.726844787597656,20.374952591397516,20.374952591397516,96000
2017-04-11,21.87169075012207,21.91997373405533,21.726845481937325,21.726845481937325,48000
2017-04-12,22.113100051879883,22.113100051879883,21.533717139756597,21.63028126541173,138000
2017-04-13,21.53371810913086,22.209665177338096,21.388872835031474,21.726846369135096,114000
2017-04-17,21.00261688232422,21.485435661228223,20.278388713968212,20.326669855135624,102000
2017-04-18,21.485435485839844,22.11309952492985,21.195744957585212,21.195744957585212,180000
2017-04-19,21.919973373413086,21.919973373413086,21.485435734200642,21.77512626580395,72000
2017-04-20,21.34058952331543,21.34058952331543,21.34058952331543,21.34058952331543,6000
2017-04-21,21.919973373413086,22.06481863921474,21.34059046839899,21.34059046839899,144000
2017-04-24,21.485435485839844,21.63028074996716,21.437154345066556,21.437154345066556,18000
2017-04-25,21.9682559967041,22.113101272276893,21.340591908016933,21.340591908016933,162000
2017-04-26,21.34058952331543,21.726844162283435,21.34058952331543,21.726844162283435,36000
2017-04-27,21.09918212890625,21.726846206510597,21.00261799962691,21.726846206510597,42000
2017-04-28,20.761207580566406,21.67856400108187,20.761207580566406,21.67856400108187,12000
2017-05-02,21.24402618408203,21.24402618408203,21.24402618408203,21.24402618408203,36000
2017-05-03,21.147462844848633,22.064819291733734,20.761208177352422,21.67856462423752,168000
2017-05-04,21.24402618408203,21.485435572537508,21.24402618408203,21.485435572537508,126000
2017-05-05,20.712926864624023,20.712926864624023,20.278389216126868,20.616362738090487,48000
2017-05-08,21.0508975982666,21.195744702457894,20.61636181111504,21.195744702457894,36000
2017-05-09,21.0508975982666,21.0508975982666,21.0508975982666,21.0508975982666,0
2017-05-10,20.616361618041992,21.002616261384127,20.568078636494587,21.002616261384127,18000
2017-05-11,20.568078994750977,20.568078994750977,20.568078994750977,20.568078994750977,6000
2017-05-12,19.023061752319336,20.085261655378645,19.023061752319336,20.085261655378645,48000
2017-05-15,20.471515655517578,20.471515655517578,19.505878159348022,19.505878159348022,150000
2017-05-16,20.471515655517578,20.471515655517578,20.471515655517578,20.471515655517578,0
2017-05-17,20.471515655517578,20.471515655517578,20.471515655517578,20.471515655517578,0
2017-05-18,19.795570373535156,20.23010802089674,19.795570373535156,20.133543894615553,72000
2017-05-19,20.519798278808594,20.519798278808594,19.457596587779356,19.457596587779356,30000
2017-05-22,20.664642333984375,20.664642333984375,20.326668837313502,20.326668837313502,30000
2017-05-23,20.664642333984375,20.664642333984375,19.892133063142996,20.568078214677357,72000
2017-05-24,19.795570373535156,19.795570373535156,19.795570373535156,19.795570373535156,6000
2017-05-25,22.01653480529785,22.01653480529785,19.312750475456856,19.602440995865745,78000
2017-05-26,20.664642333984375,20.664642333984375,20.664642333984375,20.664642333984375,6000
2017-05-29,20.761207580566406,20.761207580566406,20.761207580566406,20.761207580566406,30000
