Price,Close,High,Low,Open,Volume
Ticker,BAJAJFINSV.NS,BAJAJFINSV.NS,BAJAJFINSV.NS,BAJAJFINSV.NS,BAJAJFINSV.NS
Date,,,,,
2005-12-01,1976.15478515625,1991.8168001145189,1949.1377137598831,1970.477256937201,277500
2005-12-02,1941.4049072265625,1996.907131163695,1928.4347996344454,1986.1394946721261,217500
2005-12-05,1957.849853515625,1991.9147859350762,1940.1322219061437,1991.9147859350762,195800
2005-12-06,1944.7330322265625,1977.3296530160344,1920.6527049050057,1957.8499954072875,107600
2005-12-07,1948.5506591796875,1957.7521180327828,1938.2724605600154,1957.7521180327828,80200
2005-12-08,1972.6798095703125,1982.2238503311662,1943.6072408954672,1957.7519509443616,158900
2005-12-09,2037.82421875,2045.752971404108,1977.3296307645794,1982.2240110387493,216600
2005-12-12,2071.59521484375,2102.625534573129,2040.9563498998946,2040.9563498998946,186300
2005-12-13,2069.050048828125,2088.921278420461,2031.1675973394829,2076.1958910636354,166000
2005-12-14,2072.720947265625,2111.4355410278363,2061.121410006068,2080.1115088939046,147500
2005-12-15,2037.3837890625,2119.266676128799,2031.1678304698653,2100.6680309341355,79600
2005-12-16,2073.308349609375,2093.8157539139092,2031.1676902156903,2039.9775741732524,123900
2005-12-19,2060.974365234375,2093.815701856336,2051.724035105601,2093.815701856336,100500
2005-12-20,2038.90087890625,2075.2172768443934,2036.062233885065,2070.322896474477,59400
2005-12-21,2044.236328125,2073.259913569067,2026.2738532048957,2054.661264674916,83600
2005-12-22,2054.660400390625,2065.4280346947207,2021.3786216325109,2055.6392762364517,54900
2005-12-23,2036.5513916015625,2091.9068737626076,2031.1675739357088,2064.449355870077,76200
2005-12-26,1977.77001953125,2031.1677545623286,1970.4774409320323,2031.1677545623286,69000
2005-12-27,1999.5010986328125,2004.7380613693974,1970.4774011409165,1977.3295331866127,87000
2005-12-28,1956.0391845703125,2015.0164701303584,1945.0268283454077,1990.0551293539074,117900
2005-12-29,1957.6053466796875,1971.8480417458725,1943.0690604782303,1957.7522019931791,378700
2005-12-30,1958.8287353515625,1987.118275587078,1949.1378390747439,1971.8478339193298,85100
2006-01-02,1962.4017333984375,1977.3295929491676,1943.068931685197,1973.4140888047139,92900
2006-01-03,1973.658447265625,1985.4049575531326,1944.0474525825325,1944.0474525825325,136800
2006-01-04,2007.5767822265625,2015.995211794889,1967.5408476366724,1967.5408476366724,104700
2006-01-05,2025.686279296875,2055.6399861165214,2012.569434026461,2015.9955006699888,214400
2006-01-06,2003.41650390625,2045.8507527992251,1978.8467412518326,2023.336605758851,182300
2006-01-09,2009.68115234375,2024.8047367358945,1999.8434020553216,2005.71665727428,215400
2006-01-10,1981.0494384765625,2026.273465118762,1967.540900912421,1978.8469673188247,104000
2006-01-12,1956.1861572265625,1987.0696286192535,1938.4195308863116,1977.3298585483394,134900
2006-01-13,1970.6729736328125,2001.8012759901173,1953.836355440721,1957.751859159039,288900
2006-01-16,1978.4552001953125,1996.809124721235,1972.4350890524709,1982.2238487996294,133500
2006-01-17,1978.4552001953125,1978.4552001953125,1978.4552001953125,1978.4552001953125,0
2006-01-18,1975.2252197265625,1987.020725156711,1932.3015243529323,1958.7311804611031,123700
2006-01-19,1994.068359375,1998.8648758746072,1975.3718508888135,1987.0204996759437,97400
2006-01-20,1994.068359375,1994.068359375,1994.068359375,1994.068359375,0
2006-01-23,2007.4788818359375,2020.399996809553,1998.2774238436014,1998.2774238436014,75000
2006-01-24,2035.4256591796875,2041.4946418464926,1996.9067976608715,2014.526563522585,127800
2006-01-25,2100.9619140625,2119.266850144661,2034.5940637531999,2041.4951883598264,321400
2006-01-27,2160.427978515625,2174.083248737815,2100.961271014129,2114.371822275408,244900
2006-01-30,2128.957275390625,2187.787817439515,2121.22425073442,2173.104677725156,117700
2006-01-31,2109.13525390625,2163.2181574218343,2104.632567320343,2129.0554777628236,155700
2006-02-01,2115.44921875,2160.3795357950517,2100.668094162293,2114.372359455057,93800
2006-02-02,2098.171142578125,2139.7243696567343,2080.1109330968447,2120.4405655089267,208700
2006-02-03,2095.724609375,2121.224378005574,2033.3702534435067,2121.224378005574,103400
2006-02-06,2145.304443359375,2165.2734154309433,2085.005594424914,2104.5831117434577,162300
2006-02-07,2135.858154296875,2163.3156702155143,2117.3085043783517,2158.421290871135,76400
2006-02-08,2161.89697265625,2190.675835923156,2104.6817093854756,2163.3162952795424,161200
2006-02-10,2168.455078125,2187.3474328883035,2129.055318777508,2160.4773342479984,200300
2006-02-13,2174.426513671875,2190.724705093613,2163.5119018002338,2185.928307811665,159700
2006-02-14,2252.834228515625,2306.231964627428,2176.0414504952346,2177.999202587448,702600
2006-02-15,2365.062744140625,2381.1162172886843,2266.0982705131773,2270.9926512270285,496900
2006-02-16,2326.59228515625,2398.2459531853583,2301.875668699952,2363.9852967112815,350900
2006-02-17,2349.694091796875,2397.952731260923,2339.5138759634574,2348.3237608520226,325400
2006-02-20,2362.517578125,2388.457795991299,2301.876248683301,2388.457795991299,134800
2006-02-21,2362.517578125,2362.517578125,2362.517578125,2362.517578125,0
2006-02-22,2490.994384765625,2544.9792937188245,2457.369902840929,2471.857313598417,443100
2006-02-23,2566.75927734375,2631.2183492381887,2487.3725873545977,2505.922237369704,666100
2006-02-24,2529.07275390625,2589.126889062549,2517.717936270525,2568.5704941021277,385800
2006-02-27,2508.419189453125,2574.5423228555155,2472.9839197231454,2528.730870079599,383700
2006-02-28,2546.3017578125,2568.571191734743,2486.394581167816,2517.6696284839018,280200
2006-03-01,2662.248779296875,2690.929891414557,2530.492224475043,2544.0985041056506,589400
2006-03-02,2665.4794921875,2697.7824019349064,2642.9653429696104,2642.9653429696104,277700
2006-03-03,2650.796630859375,2750.54401557788,2642.96562161016,2685.057296324692,425000
2006-03-06,2670.031005859375,2729.1062676113947,2662.542700108678,2682.120219962418,205800
2006-03-07,2670.227294921875,2722.2544646269303,2662.7387492828457,2682.120544076875,164700
2006-03-08,2623.9755859375,2697.782754379021,2595.5391850875785,2669.3953451348293,284900
2006-03-09,2609.9765625,2657.3540550668986,2584.232081467499,2657.3540550668986,235600
2006-03-10,2699.103759765625,2721.2752049608885,2620.548962931772,2633.1763673902124,288200
2006-03-13,2754.312255859375,2775.015386995979,2691.9089128789983,2708.9412591344035,298200
2006-03-14,2742.3203125,2798.605666049438,2733.020993217919,2766.498494836745,252000
2006-03-16,2751.228759765625,2765.3244774377968,2725.1905646679033,2749.0750415522443,195800
2006-03-17,2720.981689453125,2764.345945963037,2711.486639630883,2750.6416813584046,117200
2006-03-20,2699.0546875,2753.5780297702277,2693.083448649768,2738.8948906139694,228700
2006-03-21,2643.307861328125,2724.211865883999,2618.591242710241,2701.697718232065,435500
2006-03-22,2625.1005859375,2677.2257304144914,2596.223745335223,2652.7538315990028,388900
2006-03-23,2677.37255859375,2689.657500019681,2635.1341553741822,2641.9862872789445,291300
2006-03-24,2681.97314453125,2704.634025298986,2655.249785518268,2678.204376843296,179300
2006-03-27,2673.84912109375,2699.6913551429047,2643.944407744823,2677.2261959208035,155300
2006-03-28,2673.505615234375,2709.52829352297,2667.43663289382,2680.1620186654236,188800
2006-03-29,2673.505615234375,2673.505615234375,2673.505615234375,2673.505615234375,0
2006-03-30,2641.79052734375,2689.9511774845682,2623.3876112294915,2672.3314099464596,176000
2006-03-31,2688.238525390625,2716.1854862141295,2623.387982902822,2623.387982902822,365300
2006-04-03,2759.990234375,2780.008203395014,2716.1855276489696,2716.1855276489696,180700
2006-04-04,2740.85302734375,2780.9869466727123,2721.275505719866,2780.008070591518,102800
2006-04-05,2795.180908203125,2816.9119114175064,2752.5997947354886,2765.325184967196,168600
2006-04-07,2754.801513671875,2828.9513634224813,2716.3806344281616,2796.648458580633,265400
2006-04-10,2757.739013671875,2778.931588109907,2740.8044073743336,2770.219685399381,118400
2006-04-12,2757.739013671875,2757.739013671875,2757.739013671875,2757.739013671875,0
2006-04-13,2659.8505859375,2740.754584898472,2565.6337789096283,2731.0638089118133,375600
2006-04-17,2707.962646484375,2721.275456541396,2652.7541320961095,2692.1049020522914,101100
2006-04-18,2938.34130859375,2956.205797269301,2667.437350185048,2667.437350185048,732800
2006-04-19,2883.866943359375,2975.4896019620924,2859.786495960215,2936.6282689990226,393000
