Price,Close,High,Low,Open,Volume
Ticker,BALRAMCHIN.NS,BALRAMCHIN.NS,BALRAMCHIN.NS,BALRAMCHIN.NS,BALRAMCHIN.NS
Date,,,,,
2005-12-01,69.31182861328125,69.97083250091292,68.65282472564958,69.38935743857847,472505
2005-12-02,68.76911926269531,70.31971952489877,68.42023656972776,69.77701179915579,650285
2005-12-05,68.69158935546875,69.93206836276586,68.53653169770804,69.46688947441325,476153
2005-12-06,69.3505859375,69.97082833307319,64.0397818675328,68.38146089133555,823340
2005-12-07,71.28883361816406,71.56019335396603,68.65281831382771,69.77700096331999,1671887
2005-12-08,71.44388580322266,72.10288952446477,70.62981855546734,71.67647222038937,1397051
2005-12-09,72.45179748535156,72.8006861059095,71.4051434538193,71.4051434538193,1109366
2005-12-12,75.63052368164062,76.28952755365758,71.4826636032132,72.68438106959181,3182921
2005-12-13,81.48402404785156,82.10426637757756,75.20409559842003,75.94062818928407,8025864
2005-12-14,81.48402404785156,83.2672163095119,77.91764543960012,82.18179519002601,6698446
2005-12-15,82.1430435180664,83.49981869784145,80.78626833829136,81.6391031833491,2956061
2005-12-16,82.29810333251953,84.81782855141631,81.98798212256438,82.87957838303417,2121864
2005-12-19,87.9965591430664,89.08198043885835,82.56945857917685,82.95710861945467,4140072
2005-12-20,85.24423217773438,90.51627451554558,84.97287836220062,89.08197070623606,4871298
2005-12-21,87.33757781982422,88.22917432580644,83.03465889512447,85.9420349482806,2547785
2005-12-22,85.16671752929688,88.77186429275929,84.31388857500063,87.68644293498656,3532843
2005-12-23,84.62401580810547,87.91904157225241,83.73241941832211,85.7869660778044,2986926
2005-12-26,82.37564086914062,85.28301642922794,80.66998290658435,85.28301642922794,1723175
2005-12-27,85.63188934326172,85.90324909657852,81.01885634785675,81.40650637822927,1590114
2005-12-28,85.94200897216797,87.02743022029026,84.1588224142463,86.05830516215785,1261925
2005-12-29,85.90325164794922,86.79484201223067,84.89535917301772,86.0583092986755,834779
2005-12-30,90.28369140625,90.94270120233735,85.28300828639405,86.0583083617249,3330202
2006-01-02,92.53206634521484,93.53995884770464,90.36122960033967,92.1056548365233,2279551
2006-01-03,95.36190795898438,95.94338300751477,92.53206153978911,92.53206153978911,1878496
2006-01-04,92.60958862304688,97.18386010187955,91.64046356037342,96.13720621720621,1505117
2006-01-05,91.52417755126953,93.81131043976463,89.62468879084372,93.73378161415076,1062689
2006-01-06,94.1601791381836,95.59448881698911,92.26069657473158,92.45452156753564,1633616
2006-01-09,94.85797119140625,97.68781789274188,93.53996331602451,94.58661732471833,3302430
2006-01-10,98.65693664550781,101.79690438217881,92.37700708723611,95.36191125656158,4778174
2006-01-12,100.40135955810547,103.03737507699574,95.361909078355,98.46310937358605,3053708
2006-01-13,101.5255355834961,104.66550304074639,100.78900292812615,101.40924531217328,2456261
2006-01-16,103.61884307861328,104.58796810490088,101.8356624943557,102.6497180523257,1582291
2006-01-17,107.5728759765625,108.54200098536036,103.89020094313062,104.27785094664978,3086066
2006-01-18,107.45659637451172,109.3173118440565,103.8902112560537,106.06105385728291,3104311
2006-01-19,112.1083984375,116.29501421726532,107.53412078020321,107.9605381983613,5965724
2006-01-20,113.542724609375,117.49676080319111,112.57359925110082,116.29504299290241,4718414
2006-01-23,116.29500579833984,117.7293156019086,106.52622057922339,113.50392092712379,3020667
2006-01-24,121.72209167480469,123.19515684199858,116.83769964284537,116.8764670062217,4522654
2006-01-25,115.01580047607422,124.70705390917306,112.49607458346853,123.11768598011618,4388558
2006-01-27,115.82980346679688,117.76805326932117,112.41848854640929,116.68263811196275,3818829
2006-01-30,113.46514129638672,117.07028097857263,112.57353934316954,117.07028097857263,1971755
2006-01-31,116.68266296386719,118.15572839547444,113.9691126623819,114.35676270545123,2173635
2006-02-01,113.5039291381836,116.48883923499683,108.58078063465578,116.29501421131131,2973291
2006-02-02,110.01508331298828,114.6281285337468,108.8133775799918,114.6281285337468,2472703
2006-02-03,113.93035125732422,114.93824378810478,110.01508325129647,110.71286046344045,3225870
2006-02-06,115.90737915039062,116.60514459382107,111.64322807796822,114.62813856072076,2376679
2006-02-07,122.07099151611328,122.73000129611988,115.1320583772498,116.37254319956574,3117841
2006-02-08,120.55915069580078,122.8850507092246,117.84560068013967,122.49740070698729,1806567
2006-02-10,119.8226089477539,121.33444147551056,114.9382169248846,117.84559172062367,2397528
