Price,Close,High,Low,Open,Volume
Ticker,CREST.NS,CREST.NS,CREST.NS,CREST.NS,CREST.NS
Date,,,,,
2006-12-27,191.5328369140625,198.42802884753547,189.7087181345348,198.42802884753547,14021
2006-12-28,194.4149627685547,196.93225937542957,189.70873129716355,192.62732415450716,7679
2006-12-29,191.89767456054688,198.46451810930816,189.70872671095978,198.46451810930816,4235
2007-01-02,207.14732360839844,207.14732360839844,192.6273080794943,192.6273080794943,7787
2007-01-03,193.7947540283203,209.40923025611403,191.89766167341705,209.40923025611403,3055
2007-01-04,191.1680145263672,196.85927848584137,191.1680145263672,196.85927848584137,87
2007-01-05,191.89767456054688,195.54592532252144,178.7639874630243,178.7639874630243,3338
2007-01-08,191.1680145263672,191.89765940594506,191.1680145263672,191.89765940594506,4
2007-01-09,184.01744079589844,189.70870453968638,179.4936244607761,189.70870453968638,1021
2007-01-10,174.3131103515625,175.84537366317198,171.4674784871449,175.37110385876682,4127
2007-01-11,172.92678833007812,178.54507867815673,172.92678833007812,172.92678833007812,901
2007-01-12,183.7255859375,184.23633603136935,183.7255859375,184.23633603136935,644
2007-01-15,183.7255859375,183.7255859375,183.7255859375,183.7255859375,0
2007-01-16,174.38604736328125,196.27550561130442,173.0361988069748,196.27550561130442,7589
2007-01-17,185.69564819335938,185.69564819335938,175.1157386056595,175.1157386056595,644
2007-01-18,178.8004913330078,185.1484274330523,178.07083331480436,184.89305234187668,452
2007-01-19,178.03433227539062,193.94067704124728,170.15412047058504,193.94067704124728,43
2007-01-22,171.4674835205078,179.12880030345025,171.4674835205078,179.12880030345025,174
2007-01-23,173.47402954101562,180.22327392970456,161.98204786035384,161.98204786035384,430
2007-01-24,167.2355194091797,167.27199969639938,167.2355194091797,167.27199969639938,1990
2007-01-25,175.8453826904297,178.0343303908158,165.63030211395284,178.0343303908158,6081
2007-01-29,175.11572265625,175.11572265625,175.11572265625,175.11572265625,1053
2007-01-31,175.11572265625,175.11572265625,175.11572265625,175.11572265625,0
2007-02-01,174.09422302246094,174.13071634880748,174.09422302246094,174.13071634880748,30
2007-02-02,164.38990783691406,171.46750164817044,164.38990783691406,171.46750164817044,93
2007-02-05,170.73785400390625,170.73785400390625,170.73785400390625,170.73785400390625,11
2007-02-06,171.50399780273438,177.7789731473315,167.81926663150634,167.81926663150634,1330
2007-02-07,171.4674835205078,172.9267863013497,156.8745078640374,156.8745078640374,537
2007-02-08,168.65834045410156,168.65834045410156,168.65834045410156,168.65834045410156,4
2007-02-09,170.73785400390625,175.18871028446657,165.265484381091,175.11574970215847,4719
2007-02-12,167.74627685546875,167.74627685546875,159.06344727216307,159.09992755814562,1551
2007-02-13,160.52276611328125,160.52276611328125,160.52276611328125,160.52276611328125,117
2007-02-14,166.25050354003906,166.28698382814477,161.9820490719278,161.9820490719278,86
2007-02-15,160.74168395996094,166.9436991542059,160.74168395996094,166.9436991542059,32
2007-02-19,175.26168823242188,176.7574584346022,175.1157540262139,175.1157540262139,265
2007-02-20,182.33926391601562,182.33926391601562,175.00628265293798,175.1157365561717,409
2007-02-21,168.8042755126953,168.8042755126953,168.8042755126953,168.8042755126953,3
2007-02-22,169.09619140625,178.03438646644042,165.6303542826701,167.81930267251093,1171
2007-02-23,159.7930908203125,175.84536829651373,152.49660342894583,175.84536829651373,7442
2007-02-26,160.52276611328125,160.52276611328125,156.87451550253044,159.79310816833845,5131
2007-02-27,159.7930908203125,163.441341034989,156.14485364362233,159.7930908203125,7032
2007-02-28,158.91754150390625,167.81925366437042,146.11219064387947,167.81925366437042,9784
2007-03-01,159.1364288330078,164.1709953858429,152.49661227485973,157.60416547927935,8266
2007-03-02,159.1364288330078,160.44978438393088,153.22627018291226,159.06345521941032,7333
2007-03-05,145.92979431152344,152.20476939121647,143.74084648419142,152.13180880963478,5758
2007-03-06,157.09336853027344,158.62563155426594,142.46391576142707,152.4965794582959,11952
2007-03-07,161.14295959472656,163.44134807195965,155.4152155072869,162.711703212804,6495
2007-03-08,169.82574462890625,175.11569820223608,158.51619275978248,160.52272552504712,9544
2007-03-09,175.22518920898438,180.9164535723243,170.73785267226816,178.76398603114,12039
2007-03-12,173.47402954101562,181.31774775462534,162.01854118617376,181.31774775462534,10405
2007-03-13,172.489013671875,178.76398886456263,171.4675003213961,178.76398886456263,9970
2007-03-14,172.5619354248047,175.0792314241169,165.99510634021755,175.0792314241169,25779
2007-03-15,167.85577392578125,178.76402194890835,167.85577392578125,178.76402194890835,8254
2007-03-16,162.93060302734375,178.03432900440265,162.89412273895263,178.03432900440265,15938
2007-03-19,172.0876922607422,174.20367939545469,153.2262746826496,153.2262746826496,22123
2007-03-20,171.978271484375,178.03435217100093,153.9559375590607,178.03435217100093,12204
2007-03-21,173.3645782470703,173.6564335921099,162.74818850465334,167.81924846339456,7135
2007-03-22,173.7659149169922,175.0792837339121,170.00822297491402,170.00822297491402,10012
2007-03-23,174.7509307861328,188.9790926254699,167.8192708897305,182.412248699622,13038
2007-03-26,167.5273895263672,167.5273895263672,167.0895999992009,167.16256057439963,3864
2007-03-28,172.96324157714844,174.38606386436382,161.25237984999964,161.25237984999964,11384
2007-03-29,172.78086853027344,178.03434339492816,167.819262072314,175.11575059389386,26278
2007-03-30,175.11572265625,178.0343149916574,172.19713032084263,173.40104493292816,7257
2007-04-02,169.023193359375,181.68261189214618,157.27584738898514,178.76400576850517,9842
2007-04-03,170.73785400390625,177.30469755128456,170.73785400390625,177.30469755128456,117
2007-04-04,178.76397705078125,180.22327987817053,175.84538443399018,178.76397705078125,7844
2007-04-05,180.73402404785156,186.06047202149287,176.5750365508517,186.06047202149287,9916
2007-04-09,182.41220092773438,184.6011483297541,175.1886745010693,182.22978647123512,10746
2007-04-10,180.66104125976562,189.70868608799321,178.80044250502706,189.70868608799321,8076
2007-04-11,180.77052307128906,185.33081995418587,178.21674638647687,185.33081995418587,9198
2007-04-12,180.22328186035156,180.95292676307744,175.84538636802102,175.84538636802102,10155
2007-04-13,178.07078552246094,181.68255523683732,176.8303906928044,181.68255523683732,8608
2007-04-16,177.12228393554688,180.11385035684492,175.11575057023265,175.11575057023265,12467
2007-04-17,179.1287841796875,179.4206394943905,173.65641554159387,179.4206394943905,8866
2007-04-18,178.94638061523438,179.12879508727613,175.84537370448444,175.84537370448444,10186
2007-04-19,176.9398651123047,177.3046940927053,175.11574628627773,175.11574628627773,8460
2007-04-20,178.43563842773438,179.4571516936243,174.38609172857613,177.6695002188201,12225
2007-04-23,178.58157348632812,178.7639749293481,172.9267897650372,176.57504027122204,14327
2007-04-24,178.76397705078125,188.97907076653127,175.11573953928928,188.97907076653127,12091
2007-04-25,178.90989685058594,179.1287916051836,176.5750281602017,176.5750281602017,11170
2007-04-26,176.0642852783203,179.12881219493624,175.11574557869707,175.11574557869707,12776
2007-04-27,174.38604736328125,177.3046391887542,173.69286990757104,175.84533675702573,10293
2007-04-30,176.50204467773438,176.57501828384295,173.10918269023637,173.10918269023637,12744
2007-05-03,176.90338134765625,184.60117880941814,175.84538775566287,175.84538775566287,8958
2007-05-04,177.4506378173828,203.49910507407208,168.54891191410167,203.49910507407208,12750
2007-05-07,175.48056030273438,175.84537621403763,173.65642859427055,175.11573135344423,8622
2007-05-08,177.0858154296875,178.39918423308148,172.1971692297174,172.1971692297174,20069
2007-05-09,178.03433227539062,180.00438522659203,173.83885131157075,173.83885131157075,15031
2007-05-10,173.25511169433594,178.03430256146575,172.92676307161,174.38606565641965,13642
2007-05-11,173.40106201171875,177.3046876305725,172.19714728105603,175.11573990392435,11999
2007-05-14,177.12228393554688,202.84241477128285,172.92680271025563,172.92680271025563,13217
2007-05-15,176.9398651123047,183.79856389311507,174.02127238306392,176.57504916989208,16746
2007-05-16,175.2981414794922,176.86688506174517,174.75089806913238,175.11572700937225,11254
2007-05-17,176.7939453125,182.4122360336203,174.3861027068804,175.11574763531453,16398
2007-05-18,176.1372528076172,176.5750423519988,172.19714690818242,175.11573952473086,15582
2007-05-21,172.30657958984375,180.1503107270622,171.57693472986537,173.7294020604865,12931
2007-05-22,174.20364379882812,175.11570298632145,167.1990125502589,172.92675572114356,12105
2007-05-23,162.74815368652344,175.1156989292558,161.9820156424686,174.02122532202355,12211
2007-05-24,167.7827606201172,175.11572850819883,147.38906780030445,147.38906780030445,11744
2007-05-25,171.10264587402344,175.11571171420172,167.92866566232988,175.11571171420172,15248
2007-05-28,171.43106079101562,175.1157927491575,170.7378959747298,174.02131855555055,9898
2007-05-29,173.58349609375,174.3861146968033,171.46750870642165,174.3861146968033,13403
2007-05-30,175.07928466796875,175.11576496230182,154.68558760277048,154.68558760277048,12383
2007-05-31,172.92678833007812,174.38609112804014,170.73784065212874,173.6564332100655,8787
2007-06-01,172.19712829589844,177.30466808229602,171.83229936901785,177.30466808229602,14494
2007-06-04,173.10919189453125,175.1157249664692,172.1971325925582,175.1157249664692,9439
2007-06-05,173.9118194580078,174.93333278611797,171.4674965666613,174.93333278611797,12823
2007-06-06,172.19712829589844,173.65641792744853,170.73782562636222,170.73782562636222,13359
2007-06-07,172.19712829589844,172.9267731116735,170.73782562636222,172.9267731116735,12228
2007-06-08,171.79583740234375,172.9267915506827,169.27854100682598,169.27854100682598,12363
2007-06-11,172.59844970703125,174.3860881067204,171.46748256136257,171.46748256136257,13392
2007-06-12,171.0296630859375,175.11570231117776,170.008163058116,175.11570231117776,13448
