Price,Close,High,Low,Open,Volume
Ticker,GRWRHITECH.NS,GRWRHITECH.NS,GRWRHITECH.NS,GRWRHITECH.NS,GRWRHITECH.NS
Date,,,,,
2022-02-03,825.9154663085938,865.0825915149807,818.3739701508422,860.9955752670019,16398
2022-02-04,837.4465942382812,848.5399150500671,817.4494785317152,827.1317979272443,37106
2022-02-07,818.22802734375,855.1570450370576,808.643052226816,855.1570450370576,15824
2022-02-08,807.475341796875,835.6951360323405,801.1015725636892,831.8027506205522,13059
2022-02-09,810.5892333984375,829.1753493265695,798.4255294158679,812.5354260356486,16019
2022-02-10,776.0443115234375,841.4363957962553,756.631028152792,810.5405877826263,29207
2022-02-11,744.953857421875,775.5577478054889,718.5829715611304,775.5091048693125,52028
2022-02-14,704.2783813476562,748.8461758465502,698.6830781452396,719.1180985366742,24110
2022-02-15,719.8966674804688,754.149670861438,697.9533566778922,754.149670861438,28406
2022-02-16,716.1016845703125,739.50464176705,705.4949097560534,729.5790463304843,10309
2022-02-17,694.936767578125,724.0809551367296,687.15199694091,716.1016127480534,14852
2022-02-18,671.5337524414062,705.4948380582736,666.570984924024,687.006007819505,24488
2022-02-21,644.7249755859375,661.7055187923892,637.7186699789299,648.0821698760752,14496
2022-02-22,596.9459228515625,636.210333861235,589.7449866463712,632.5125798881975,47446
2022-02-23,662.0460205078125,677.2263578861986,598.6001915086005,598.6001915086005,95788
2022-02-24,695.6665649414062,763.6373173790452,608.1851842776721,608.1851842776721,234329
2022-02-25,788.4512329101562,795.9927288127218,710.8954502658016,719.8965905366057,158749
2022-02-28,776.5308227539062,801.8313257509008,773.6115339465607,783.3424966377124,44545
2022-03-02,740.08837890625,778.4770398105234,736.5852559843365,778.2824086719538,28813
2022-03-03,750.646484375,793.0734578733213,731.7683930315799,753.127867978073,27324
2022-03-04,752.0574340820312,777.5039254882221,737.7529663215581,737.7529663215581,17275
2022-03-07,730.454833984375,752.9819799334913,697.0775800610689,749.2842255044253,18330
2022-03-08,736.8285522460938,749.0408992972332,729.8222467982135,741.4021168713132,10915
2022-03-09,717.4639282226562,778.2824502033013,711.3334330856247,747.8731892129788,31449
2022-03-10,723.448486328125,746.1702621248561,713.4742488365554,745.3917969309608,14827
2022-03-11,722.6700439453125,739.0180511054878,716.1989293185546,732.741567631619,12995
2022-03-14,699.9968872070312,727.340932293218,685.0598808908665,719.7020897468608,25112
2022-03-15,703.840576171875,720.1399399902708,697.6127951845792,703.4513732687808,14532
2022-03-16,701.3104858398438,718.1450392443261,692.844536506721,714.9338334677849,10041
2022-03-17,702.0403442382812,718.7776126372202,695.7638611645435,710.1656746638778,16043
2022-03-21,721.599609375,735.9041380527929,710.3603580542662,714.6420058874455,34132
2022-03-22,706.0786743164062,732.5469064094709,696.2504251263645,728.3139611250568,17997
2022-03-23,716.3448486328125,724.713452864345,703.0620606841078,715.0311330219818,23327
2022-03-24,728.8977661132812,778.1851170920485,708.3168151600809,719.5074225252858,84550
2022-03-25,723.448486328125,761.9344347218567,714.2527140304506,739.3585877403696,40885
2022-03-28,696.4937133789062,723.010588949392,688.4170255424767,723.010588949392,33826
2022-03-29,685.5463256835938,707.6356230029734,680.3889273051159,698.5858395248017,35642
2022-03-30,673.0907592773438,711.3334340732525,663.6517127742247,691.8715070124249,38266
2022-03-31,679.51318359375,697.2235494142224,664.8680950973726,673.3826883386489,42147
2022-04-01,703.9379272460938,715.0311900616827,678.8806960948108,690.8984123266375,15330
2022-04-04,729.6276245117188,731.2819001698289,707.2950516099509,717.1720032270977,18105
2022-04-05,732.4495849609375,765.826775628785,725.8811850429015,739.5531759566411,30234
2022-04-06,718.9722290039062,733.4227457299713,715.2258317377535,732.4496493602602,13238
2022-04-07,722.0861206054688,727.7300674471637,713.8148017912181,724.8594807849224,8076
2022-04-08,726.1731567382812,739.7478628031623,720.0913045042923,724.9567862914835,8935
2022-04-11,740.039794921875,749.0895793519664,726.1731715456268,726.1731715456268,20908
2022-04-12,720.285888671875,744.2726766822738,715.2257760646376,740.0397315607576,11212
2022-04-13,751.4736938476562,759.7450132360733,720.0913349916033,721.5509795895592,21674
2022-04-18,723.2052001953125,754.1496514335829,683.7947990558802,751.4736365413993,17593
2022-04-19,705.7381591796875,733.9579545829429,697.3695539552687,733.9579545829429,13004
2022-04-20,705.0082397460938,718.8262185044819,700.629306579969,700.72659244865,6193
2022-04-21,726.5623779296875,737.6556401409752,711.4793852427887,715.5663421983191,20323
2022-04-22,733.1307983398438,753.9063812156576,715.2258021213402,722.0374764272577,16188
2022-04-25,724.1296997070312,749.2842175385908,717.3666679428377,749.2842175385908,37683
2022-04-26,712.1605224609375,747.6298954240016,710.6522350341804,747.6298954240016,18247
2022-04-27,702.6242065429688,719.1182015283599,698.6345352714267,719.1182015283599,14164
2022-04-28,702.0890502929688,710.3117267245676,691.871538126543,710.3117267245676,17050
2022-04-29,694.7421264648438,711.8685978637375,692.8445767706329,708.365474884491,8966
2022-05-02,679.3184814453125,699.8022054166096,674.0637972300037,694.7420929405811,10271
2022-05-04,648.0335083007812,706.0786683426563,643.2166696224198,700.629352690079,22972
2022-05-05,653.4827880859375,666.5709447929707,651.0014044766386,657.6670901673351,11809
2022-05-06,650.8554077148438,666.5709360220864,627.6957286776563,638.5944186342981,24265
2022-05-09,634.4588012695312,648.0821497630488,626.2361254787553,647.9848638881866,13035
2022-05-10,613.6832275390625,644.1411309516069,603.3197278121512,636.599634353955,13831
2022-05-11,593.9293212890625,614.7049635714917,582.8847017002245,613.0506879317886,25144
2022-05-12,584.3930053710938,603.222455516616,567.5584502720742,593.9293377919469,23065
2022-05-13,595.7296142578125,615.9700070336985,584.8309229498464,602.8332059358233,8945
2022-05-16,615.2887573242188,622.7816104536053,595.53491499626,603.0764110603466,8789
2022-05-17,636.4536743164062,640.2974168891153,617.9648431296386,622.9763132348667,5925
2022-05-18,633.0477905273438,657.8617463514188,622.7816363689415,645.9899595295187,8949
2022-05-19,611.6883544921875,623.7547732387532,604.390131716383,618.0134808978847,12885
2022-05-20,634.1182861328125,640.9786038018777,615.6294547277085,622.7816894350785,6612
2022-05-23,638.93505859375,671.6797754991896,623.7547788409715,634.1182790329286,9987
2022-05-24,617.3809204101562,651.0013835725437,613.0992732034184,651.0013835725437,6594
2022-05-25,608.1851806640625,623.6574354173898,603.7576044274449,617.8675006188512,8981
2022-05-26,657.0833129882812,690.7037801377942,577.7273172042638,617.2836483554878,70047
2022-05-27,664.089599609375,681.1674282533965,655.137101530856,666.5709833622523,22651
2022-05-30,656.5967407226562,679.756421217806,644.1897626652811,670.4633632573696,11650
2022-05-31,646.9630737304688,666.3277145291494,642.876116643226,666.3277145291494,7392
2022-06-01,655.5263671875,661.7055051326066,650.8554572838594,656.5967493944505,4709
2022-06-02,662.2893676757812,671.4364973387918,647.1090880149225,660.2458890498119,19033
2022-06-03,648.9580078125,682.140571034248,644.1411687917714,671.4365107184467,12395
2022-06-06,651.2446899414062,658.7861861641121,632.561229356215,655.4289920960327,7395
2022-06-07,670.9013061523438,690.8984247361599,650.0770200157365,652.8990232542889,34122
2022-06-08,674.84228515625,680.6322200293582,669.4902554974766,680.6322200293582,13176
2022-06-09,671.8743286132812,679.4644676080521,666.9115020217553,676.5451788105954,4917
2022-06-10,674.2097778320312,676.5452328136499,664.1868973726687,668.517187979831,4505
2022-06-13,647.98486328125,672.5555453626157,645.3088484011013,666.5709792370486,11515
2022-06-14,658.6889038085938,664.5274815605633,639.9568001876916,656.8399970965697,5083
2022-06-15,657.5698852539062,664.9167511165638,647.1090990659973,663.3111777096226,2913
2022-06-16,635.09130859375,664.7707450260089,630.5663871509428,657.569808822916,12291
2022-06-17,635.285888671875,648.6173197130541,623.7547214016369,642.2921938330063,3235
2022-06-20,619.7163696289062,645.6494103975887,614.0237798958228,645.6007674600494,6985
2022-06-21,646.4765014648438,651.244697079665,616.40786150897,631.9287593321826,8610
2022-06-22,628.2796020507812,664.6247223332983,623.7546808428174,651.0013751698046,3562
2022-06-23,637.9619140625,647.0117572171808,632.6098843828042,647.0117572171808,3964
2022-06-24,659.75927734375,671.4364326949668,640.2973517583887,648.6173130675139,6589
2022-06-27,663.06787109375,673.7232285225365,659.7593197742254,671.4364758764241,3565
2022-06-28,661.9487915039062,675.7667715403414,651.9745539251999,667.1548332145813,5343
2022-06-29,654.69921875,667.6900907843251,650.0283681033243,657.7158531001049,4991
2022-06-30,654.1640014648438,663.3597735723084,650.8068072804568,654.8938237052284,1571
2022-07-01,650.3202514648438,657.8131049232074,642.4381951187081,642.4381951187081,4233
2022-07-04,641.6597290039062,659.7592965684619,634.4587925702613,651.0987156733822,5600
2022-07-05,642.2921752929688,659.7592650592148,639.5675176403672,650.076945382163,4801
2022-07-06,641.7570190429688,658.0077393643722,633.4857003744847,646.1359524556956,11073
2022-07-07,655.91552734375,681.216030303147,643.751823997886,651.3419630070886,28422
2022-07-08,657.6671142578125,667.5440655150136,654.7478253415661,665.7438611072289,3623
2022-07-11,700.7752685546875,710.3602425913248,654.2612215938326,658.7861427867491,72556
2022-07-12,685.5950317382812,731.7684661129913,683.2109337666093,700.6293824486088,41514
2022-07-13,726.95166015625,732.7415956659605,690.7038189363867,695.8125750814681,79074
2022-07-14,767.7730102539062,775.5577809535656,739.5045735293855,739.5045735293855,174757
2022-07-15,771.0328369140625,783.293886047053,755.1227360142944,770.6922769630428,83853
