Price,Close,High,Low,Open,Volume
Ticker,HINDCOMPOS.NS,HINDCOMPOS.NS,HINDCOMPOS.NS,HINDCOMPOS.NS,HINDCOMPOS.NS
Date,,,,,
2005-12-01,27.478946685791016,27.478946685791016,27.478946685791016,27.478946685791016,0
2005-12-02,27.038433074951172,27.038433074951172,26.70425007119619,26.734629870163214,1437
2005-12-05,25.83841323852539,25.85360313777757,25.83841323852539,25.83841323852539,1050
2005-12-06,25.83841323852539,25.83841323852539,25.83841323852539,25.83841323852539,0
2005-12-07,27.038433074951172,27.129574210224813,25.82322199417191,25.82322199417191,1062
2005-12-08,27.4941349029541,27.4941349029541,25.883981344054426,25.883981344054426,303
2005-12-09,27.266281127929688,28.709343970452185,26.30930369093021,27.342232352811603,2538
2005-12-12,27.797937393188477,28.557442720426238,27.646034937043012,28.557442720426238,4641
2005-12-13,26.90172004699707,26.90172004699707,26.886530148752517,26.886530148752517,153
2005-12-14,27.889076232910156,27.949835819689483,26.4915831381465,26.4915831381465,825
2005-12-15,27.34223175048828,27.94983632104171,26.78019687083676,27.94983632104171,3330
2005-12-16,27.34223175048828,27.34223175048828,27.34223175048828,27.34223175048828,0
2005-12-19,26.218162536621094,26.218162536621094,26.187782742054477,26.202972639337784,375
2005-12-20,26.218162536621094,26.218162536621094,26.218162536621094,26.218162536621094,0
2005-12-21,26.1422119140625,26.734626613620346,26.12702201642927,26.734626613620346,1200
2005-12-22,25.975122451782227,26.111833274906594,25.975122451782227,25.990312350087997,6900
2005-12-23,27.266281127929688,27.266281127929688,25.823218285407194,25.823218285407194,465
2005-12-26,26.00550079345703,26.00550079345703,26.00550079345703,26.00550079345703,300
2005-12-27,26.430824279785156,26.430824279785156,25.823217965013164,25.823217965013164,450
2005-12-28,26.430824279785156,26.430824279785156,26.430824279785156,26.430824279785156,0
2005-12-29,26.430824279785156,26.430824279785156,26.430824279785156,26.430824279785156,0
2005-12-30,26.67386817932129,26.67386817932129,26.278923870248146,26.278923870248146,753
2006-01-02,25.82322120666504,25.82322120666504,25.79284140862448,25.79284140862448,474
2006-01-03,25.82322120666504,25.82322120666504,25.276377888444884,25.276377888444884,645
2006-01-04,26.400442123413086,26.400442123413086,24.942191174508434,25.67131664896076,1608
2006-01-05,25.306753158569336,26.400441337698094,25.306753158569336,26.400441337698094,705
2006-01-06,25.367515563964844,25.367515563964844,25.367515563964844,25.367515563964844,132
2006-01-09,26.643484115600586,26.643484115600586,25.23080120188457,25.823215832242575,2106
2006-01-10,27.40299415588379,27.980220730224286,27.190332099731496,27.190332099731496,2370
2006-01-12,28.25364112854004,28.770104609134105,27.463754271420548,28.20807143497199,8784
2006-01-13,29.666322708129883,29.666322708129883,26.886529659066845,29.165049121699628,7590
2006-01-16,30.68405532836914,31.154952527306786,30.38025393633144,30.68405532836914,25395
2006-01-17,29.772653579711914,30.38025996102572,29.165050675143082,30.38025996102572,13725
2006-01-18,29.909364700317383,30.3194989009691,28.861246089995923,30.3194989009691,9129
2006-01-19,31.413188934326172,31.413188934326172,28.861246081299,28.861246081299,17235
2006-01-20,32.203067779541016,32.992956230408176,31.170141007476722,31.170141007476722,10395
2006-01-23,32.689151763916016,33.8132213965323,31.89926678040563,33.72208202500023,6750
2006-01-24,32.901817321777344,33.79803514545137,32.50687304906636,32.50687304906636,3654
2006-01-25,34.55754470825195,34.55754470825195,33.114483463880006,33.41828491618332,5832
2006-01-27,35.39299774169922,35.39299774169922,33.72208478942625,33.72208478942625,1719
2006-01-30,33.63093948364258,34.511963755645624,33.63093948364258,33.63093948364258,3330
2006-01-31,31.960025787353516,33.72208141927629,31.96002578735352,33.72208141927629,2415
2006-02-01,30.36507225036621,30.410641949980896,30.36507225036621,30.410641949980896,4080
2006-02-02,28.861244201660156,28.922005528229228,28.846054304610963,28.906813892807744,6189
2006-02-03,27.797937393188477,27.797937393188477,27.721986165115744,27.721986165115744,909
2006-02-06,29.134668350219727,29.134668350219727,27.646035711547842,29.134668350219727,1725
2006-02-07,27.67641258239746,28.405538011303427,27.67641258239746,27.67641258239746,1950
2006-02-08,29.07390594482422,29.07390594482422,29.07390594482422,29.07390594482422,1107
2006-02-10,30.53215980529785,30.53215980529785,30.53215980529785,30.53215980529785,2031
2006-02-13,32.06635665893555,32.06635665893555,32.06635665893555,32.06635665893555,2625
2006-02-14,33.676517486572266,33.676517486572266,33.676517486572266,33.676517486572266,1125
2006-02-15,35.36261749267578,35.36261749267578,35.36261749267578,35.36261749267578,1974
2006-02-16,37.139869689941406,37.139869689941406,37.139869689941406,37.139869689941406,7287
2006-02-17,39.008262634277344,39.008262634277344,39.008262634277344,39.008262634277344,3216
2006-02-20,40.967777252197266,40.967777252197266,40.967777252197266,40.967777252197266,5862
2006-02-21,43.01844787597656,43.01844787597656,43.01844787597656,43.01844787597656,3144
2006-02-22,41.40829849243164,45.17544916795273,40.89183148308995,45.17544916795273,120090
2006-02-23,40.34497833251953,41.92475182133842,39.50952016267231,40.70953930578896,13638
2006-02-24,40.70954132080078,40.98296641021698,39.190530816293446,40.4057399152482,9555
2006-02-27,40.70954132080078,40.70954132080078,39.58547507723291,39.58547507723291,11400
2006-02-28,39.798133850097656,41.013346432596826,39.570281925472116,41.013346432596826,11262
2006-03-01,39.038631439208984,41.0133494221535,38.582927556740614,41.0133494221535,7260
2006-03-02,40.99816131591797,40.99816131591797,39.6006698121848,39.64623950707384,9288
2006-03-03,40.70954132080078,41.90956400005956,40.19307788833807,40.4057399152482,1680
2006-03-06,41.18043899536133,42.74502268320894,41.02853655253566,42.74502268320894,2064
2006-03-07,41.18043899536133,43.24629622476583,41.02853655253566,41.18043899536133,14502
2006-03-08,40.8614501953125,43.24630255612434,40.13232462114368,40.405746276863866,26310
2006-03-09,42.9121208190918,42.9121208190918,39.50953109241549,40.70955056750026,11235
2006-03-10,43.170345306396484,44.65897958159722,42.83616408847081,42.83616408847081,5298
2006-03-13,42.22855758666992,45.296965508058946,42.22855758666992,45.296965508058946,4557
2006-03-14,41.18043899536133,41.9247543593926,40.70954177027621,40.70954177027621,4248
2006-03-16,43.20072555541992,43.24629524421105,41.089295207320596,41.18043806164724,24438
2006-03-17,45.37290954589844,45.37290954589844,44.203270213438635,44.96277541557954,22251
2006-03-20,47.65143966674805,47.65143966674805,47.65143966674805,47.65143966674805,8301
2006-03-21,50.03628921508789,50.03628921508789,50.03628921508789,50.03628921508789,21993
2006-03-22,50.233760833740234,52.54266372395149,50.21857093475329,52.54266372395149,65889
2006-03-23,49.82362365722656,51.31225800701099,48.031191345693,48.91221586499992,7545
2006-03-24,50.78060531616211,52.314809381227725,49.231211352800926,52.314809381227725,97410
2006-03-27,49.44386672973633,51.1147796538541,49.36791377176889,49.36791377176889,3612
2006-03-28,51.91986083984375,51.91986083984375,50.735028008901665,50.735028008901665,75138
2006-03-29,54.51736831665039,54.51736831665039,54.45660873194741,54.51736831665039,74658
2006-03-30,57.2515983581543,57.2515983581543,56.811084361639736,57.114885799091404,19677
2006-03-31,60.12253952026367,60.12253952026367,60.12253952026367,60.12253952026367,8394
2006-04-03,63.13017654418945,63.13017654418945,63.13017654418945,63.13017654418945,10938
2006-04-04,66.28973388671875,66.28973388671875,65.0137683406522,66.28973388671875,29550
2006-04-05,69.61637115478516,69.61637115478516,67.74798914313229,69.57080493215386,9447
2006-04-07,70.45182037353516,72.91261846534488,66.1378200724747,72.91261846534488,15279
2006-04-10,71.71259307861328,72.0012045748829,71.39360179081469,71.56068716747981,12780
2006-04-12,68.12772369384766,70.46700246545663,68.12772369384766,68.12772369384766,2124
2006-04-13,64.72515106201172,64.72515106201172,64.72515106201172,64.72515106201172,78
2006-04-17,61.67191696166992,62.88712951160786,61.52001800048595,61.52001800048595,10092
2006-04-18,61.216209411621094,61.216209411621094,60.76050560222072,60.77569897416194,4623
2006-04-19,64.28462219238281,64.28462219238281,61.36812035422681,61.38330677392624,4128
2006-04-20,63.798553466796875,66.8062023401992,63.798553466796875,65.92517423352027,5805
2006-04-21,63.783348083496094,63.79854145737614,61.09469804633092,63.79854145737614,1521
2006-04-24,62.279537200927734,63.13017848029018,60.608620532575635,60.608620532575635,843
2006-04-25,62.963077545166016,64.6795600095247,61.97571699096102,61.97571699096102,3282
2006-04-26,65.25677490234375,66.07704303415487,63.160541847145716,63.494719494301314,1677
2006-04-27,63.798553466796875,63.82893326678646,63.798553466796875,63.798553466796875,3150
2006-04-28,62.644107818603516,63.52513603233615,62.644107818603516,63.49475622865511,1890
2006-05-02,63.798553466796875,65.01376632685174,62.583340606742006,62.583340606742006,4107
2006-05-03,62.2491569519043,62.27953674903645,60.76051907846908,60.76051907846908,5310
2006-05-04,59.332645416259766,61.36812651140616,59.31745899503665,61.36812651140616,105
2006-05-05,59.393402099609375,59.56049444581847,59.393402099609375,59.393402099609375,873
2006-05-08,62.279537200927734,62.279537200927734,57.26679067261638,59.33264818329712,4503
2006-05-09,62.12762451171875,62.88713327000749,62.12762451171875,62.583328375994164,2565
2006-05-10,60.77572250366211,62.12764108332128,60.77572250366211,61.14028708302232,1005
2006-05-11,63.813720703125,63.813720703125,63.79853428444157,63.79853428444157,1950
2006-05-12,66.83655548095703,67.00364083750883,66.83655548095703,67.00364083750883,5010
2006-05-15,63.4947509765625,68.35559565185822,63.4947509765625,68.35559565185822,1407
2006-05-16,62.58333206176758,62.58333206176758,60.45671853889727,60.76051649731328,3111
2006-05-17,60.76051330566406,60.76051330566406,59.54530762885364,60.76051330566406,1665
