Price,Close,High,Low,Open,Volume
Ticker,ICRA.NS,ICRA.NS,ICRA.NS,ICRA.NS,ICRA.NS
Date,,,,,
2007-04-13,630.5913696289062,682.9934535663223,423.9269711790966,423.9269711790966,19108425
2007-04-16,756.7098388671875,756.7098388671875,661.7972590599434,673.1804859358261,5358978
2007-04-17,710.27392578125,891.0316725744335,690.8439399696049,792.9004311014784,12972741
2007-04-18,695.9076538085938,736.9265205363059,668.0776188570917,736.9265205363059,6123620
2007-04-19,685.1131591796875,697.8309790337746,653.1616139158195,682.2084645346722,2838417
2007-04-20,693.0421752929688,717.3787268688174,686.9187944795955,691.9823768906041,1671727
2007-04-23,681.6981201171875,710.3524439311402,676.0850415989113,695.5542712099194,976743
2007-04-24,662.3075561523438,688.4889586164795,659.4421040340283,682.9936077495294,613113
2007-04-25,680.0103759765625,696.7319327801556,655.5168043621745,674.9860363936331,1520037
2007-04-26,663.6419677734375,690.5299290352634,657.8718697054067,682.9934685485725,691565
2007-04-27,638.7166137695312,765.4236935993054,535.7965855195138,680.6382998467669,455643
2007-04-30,644.9578247070312,655.3989802338266,621.7596065459287,648.4513068269407,973137
2007-05-03,651.395263671875,671.2177769683075,648.5691027245848,667.2925268105981,390112
2007-05-04,642.2100830078125,659.4419384834556,631.9651910466449,654.7316389228595,256910
2007-05-07,755.296630859375,765.4237956293473,639.8157881414544,650.0214387498457,6075076
2007-05-08,704.1898803710938,780.3397336553703,693.984229930933,760.47797738188,4336644
2007-05-09,727.3096313476562,740.8517447649352,695.9468721401608,697.9094972730999,3461205
2007-05-10,718.8703002929688,741.8722558925388,714.5525252586737,734.0217558301838,1442265
2007-05-11,707.0553588867188,719.8909082592122,698.3020315120712,698.6945565438373,1141682
2007-05-14,736.45556640625,750.5079840180405,709.1750722173097,721.4218839695112,1749651
2007-05-15,727.4667358398438,744.777081949425,715.1806819075506,735.9845107445979,801739
2007-05-16,727.0347900390625,739.5171042775225,723.109540016358,730.0965042230318,536554
2007-05-17,738.143310546875,768.4069804336536,684.5636445592928,726.1712972675984,1800550
