Price,Close,High,Low,Open,Volume
Ticker,ISGEC.NS,ISGEC.NS,ISGEC.NS,ISGEC.NS,ISGEC.NS
Date,,,,,
2021-05-05,562.9385375976562,607.2013418679218,557.6328708171735,585.8313917293663,246983
2021-05-06,550.8042602539062,562.7419796632942,546.1372599860745,562.7419796632942,54294
2021-05-07,541.421142578125,563.0367226535824,537.3928084606135,557.0924501265617,67647
2021-05-10,574.5814208984375,588.3859046846917,543.3370936890711,543.3370936890711,405407
2021-05-11,561.7103881835938,589.3684720025483,558.1241426234657,565.9352399604003,166749
2021-05-12,546.4320678710938,566.5246842806382,544.2213835256147,560.0400341880267,84596
2021-05-14,530.711669921875,552.4254798234268,529.3852232732544,548.2497425370782,93025
2021-05-17,538.4244995117188,543.4845347628406,527.1254452336443,527.1254452336443,53559
2021-05-18,532.7257690429688,544.3195673280685,526.928839916096,541.4702170856436,51187
2021-05-19,548.6427612304688,565.7386844685261,531.1537434795345,532.7258216877829,167274
2021-05-20,534.0523071289062,554.0467588844499,528.5992966387263,551.9343027635772,80640
2021-05-21,526.97802734375,539.3087820292294,524.6691142180797,534.0522296415448,51430
2021-05-24,519.6090698242188,533.5609568905141,514.9912436554051,530.1221144430509,75409
2021-05-25,517.6439819335938,530.5642273842058,515.6298149159576,520.7389639141279,38393
2021-05-26,527.3710327148438,543.3370863368581,518.7739269183745,521.623277398379,338267
2021-05-27,558.3206787109375,568.8828384929747,530.6134196610715,534.9856745413207,362319
2021-05-28,560.3839111328125,567.8020334658622,555.127418853256,559.9418222254621,116002
2021-05-31,555.9625244140625,575.7604548260005,543.5827160963903,560.3838930944669,118936
2021-06-01,546.3338012695312,566.8195130110668,542.3545812810369,558.075003926864,64412
2021-06-02,561.5629272460938,563.9210144899189,545.7442768887698,545.7933912128809,62072
2021-06-03,581.0661010742188,604.2536986952265,572.8128558362879,572.8128558362879,393566
2021-06-04,569.8162231445312,584.5050054748507,565.5913714294107,581.6556548000237,137734
2021-06-07,594.5267944335938,599.2429698724483,578.6590265517929,579.6906674407941,146143
2021-06-08,629.013427734375,633.6804282416665,595.5092407429422,598.0147310954638,355844
2021-06-09,604.155517578125,642.5722764812068,585.3401127120472,636.3823720501184,155148
2021-06-10,610.0015258789062,616.928385364756,601.0605591217701,609.7067799360022,86342
2021-06-11,597.1304321289062,615.7493197932955,593.9372212619068,613.2930037417575,52520
2021-06-14,607.3487548828125,631.6662847536528,576.7430316841713,603.0256144738674,104060
2021-06-15,602.7308959960938,617.0266446384927,595.2145442514894,609.1664326048814,65619
2021-06-16,587.8455200195312,607.2013016617008,578.7080366969932,605.236248905514,88785
2021-06-17,587.5999145507812,617.026592876772,584.6032209580882,596.3935380194278,152211
2021-06-18,607.3487548828125,613.7351768690938,572.0760310018889,593.1021212211081,145828
2021-06-21,612.40869140625,616.0440510697701,585.4383298082689,593.4459439332395,70199
2021-06-22,603.07470703125,621.6935947589712,598.2111892389307,618.451269553643,78713
2021-06-23,604.155517578125,615.4545713694612,601.3552813095149,612.9982553278664,44445
2021-06-24,611.720947265625,618.0091405688916,602.779980507178,604.7450334183669,67738
2021-06-25,604.84326171875,623.9042989334711,596.442672522117,616.9283850903386,99438
2021-06-28,701.9168701171875,725.7922491662238,612.605198154934,612.605198154934,1637496
2021-06-29,692.2880249023438,763.4229548500948,680.8907435149495,722.1568491825221,1451347
2021-06-30,754.0889892578125,810.5842555540004,699.853521619742,701.5238284430985,1749754
2021-07-01,761.654541015625,787.888010084801,730.7540711558737,770.3007620654857,612668
2021-07-02,787.642333984375,801.7415642206465,740.972328714178,769.2199634829815,589794
2021-07-05,839.8145141601562,863.0021152492415,825.3222484873136,830.7261441619328,929617
2021-07-06,816.8233032226562,847.9202879441044,812.7949689475787,847.9202879441044,243076
2021-07-07,831.7578125,857.1561589922854,790.295181412729,807.6367984570877,693804
2021-07-08,809.1105346679688,850.2292427701901,798.6466039480064,839.3232231209621,398907
2021-07-09,798.0079345703125,819.4269975730973,795.6007329554144,815.2021461500838,220304
2021-07-12,774.0834350585938,806.064718791529,768.581310958656,805.4751669438289,206324
2021-07-13,790.6390991210938,813.9249895352538,769.6130076991507,775.2625351640224,433684
2021-07-14,790.540771484375,810.5843354017724,782.5332167582666,793.88138546016,185438
2021-07-15,780.7646484375,798.7448700402402,778.4065610275504,796.4358969578617,96784
2021-07-16,791.228515625,813.1880171373963,781.5997686833482,781.5997686833482,182309
2021-07-19,773.6904296875,789.3617378425304,768.3356487859899,788.8704746399818,117215
2021-07-20,776.6871337890625,809.6017688073214,751.6327101184476,776.1958705798347,429358
