Price,Close,High,Low,Open,Volume
Ticker,NDTV.NS,NDTV.NS,NDTV.NS,NDTV.NS,NDTV.NS
Date,,,,,
2005-12-01,181.5603485107422,184.19094775537863,172.77517915204425,175.7035689382769,317200
2005-12-02,193.27392578125,198.53510920457666,182.85083254800975,184.5383779468433,2391391
2005-12-05,197.34390258789062,201.8109425678362,193.12503149571978,194.66368162932864,1858851
2005-12-06,191.23895263671875,197.93951308932623,188.75726358019747,197.93951308932623,609059
2005-12-07,194.56439208984375,196.7979118969976,190.09735247553613,191.18930155117712,596562
2005-12-08,192.2316131591797,196.89720033657156,189.1046912523995,196.3512257576186,492056
2005-12-09,195.40818786621094,196.5001218818208,191.58638094400936,193.47245842817074,333033
2005-12-12,208.660400390625,210.94355721577764,196.2023190409466,196.54976154693634,2367622
2005-12-13,207.8662567138672,213.32597230722786,204.98750364163325,209.40490686503787,915137
2005-12-14,209.4545440673828,211.83695936289294,206.6254126503159,208.85893266999176,651242
2005-12-15,202.95249938964844,215.31130611870364,200.12338335243325,210.4472023127384,1024395
2005-12-16,209.00784301757812,211.43989511983276,202.50581504434686,205.4838417361755,423996
2005-12-19,210.8939208984375,215.21206566793845,209.4545443576129,211.43989548896465,510786
2005-12-20,217.3959503173828,218.63679478266468,204.98750566456417,212.68074134931172,986925
2005-12-21,215.16241455078125,222.85564967312752,212.9288946765517,218.3886099246684,1329797
2005-12-22,214.9142608642578,219.28202731261894,209.45454523029284,215.41059864916372,828132
2005-12-23,207.96551513671875,217.09812661451076,206.82394438212947,215.4105813110643,482512
2005-12-26,191.38784790039062,208.46186422669558,190.196640277072,208.46186422669558,627871
2005-12-27,198.5351104736328,200.52046157836915,185.82886037391495,190.49443244063994,656455
2005-12-28,196.84756469726562,202.95251327414496,195.55708345218594,200.02412342952013,572693
2005-12-29,195.11038208007812,200.5204607898036,193.77026403084048,194.76293957930486,566586
2005-12-30,199.9744873046875,204.29263202298353,195.55708411921717,196.1526955103707,689517
2006-01-02,201.1656951904297,203.2503199150357,199.5774233904209,201.66203296799998,245214
2006-01-03,201.31460571289062,203.200683209793,199.62706029771059,201.76130668352258,352313
2006-01-04,209.653076171875,210.9435574350004,201.5131395732004,202.456178329975,1038154
2006-01-05,206.72467041015625,212.43255446709935,204.83859304145497,211.43987897893533,676986
2006-01-06,205.53347778320312,210.34794516229394,201.81094443219254,207.22102320625586,416217
2006-01-09,205.33493041992188,209.40489082593191,203.74664358287717,206.4765011704675,235207
2006-01-10,196.251953125,205.9801765404103,194.81257660749648,204.4911632160218,657712
2006-01-12,192.0330810546875,198.5351089005871,190.5937045445636,194.46513310931434,546163
2006-01-13,189.15432739257812,195.06074383292287,188.60835281554884,193.32356163593755,427817
2006-01-16,185.97775268554688,191.5863629514822,184.7369083659129,189.60101204006784,484321
2006-01-17,188.16165161132812,194.76293789263767,185.63032595526013,185.63032595526013,552556
2006-01-18,186.52374267578125,189.35287424759713,181.85817029777553,188.70764115431948,413450
2006-01-19,201.5131378173828,202.75398226207113,187.7149536512595,188.36018670368665,813273
2006-01-20,200.2722930908203,203.34959336812696,197.04609753917143,202.60508670236183,518662
2006-01-23,202.4561767578125,206.4765157918182,181.65962687453234,199.42851328049824,435446
2006-01-24,204.34226989746094,207.61808712483594,198.5351118179744,198.5351118179744,446944
