Price,Close,High,Low,Open,Volume
Ticker,ROSSARI.NS,ROSSARI.NS,ROSSARI.NS,ROSSARI.NS,ROSSARI.NS
Date,,,,,
2020-07-23,739.4652709960938,800.7342028375065,662.0439881052018,667.2785226497083,35781326
2020-07-24,729.0460205078125,791.5613290720919,721.2191087683354,751.7788433888168,7742971
2020-07-27,725.157470703125,746.5941349156855,679.1932987569401,735.0781716609392,4512553
2020-07-28,714.3892822265625,735.825945963996,709.0051655968792,712.8937010355787,1427725
2020-07-29,700.7794799804688,720.0725141583936,697.9379000154054,711.9464985517864,879722
2020-07-30,681.7855834960938,710.8995754762916,673.0115195603041,702.9231426518731,1091585
2020-07-31,712.9435424804688,727.8495138740283,664.0380496439765,683.9791322158677,2528257
2020-08-03,709.8028564453125,715.7851811996586,694.9467256298777,712.6942768967004,712501
2020-08-04,740.3126831054688,746.2950078174321,705.6650524820142,714.9874841493488,1416395
2020-08-05,746.7437133789062,770.4735898369112,739.913855978753,741.8082831946449,2143463
2020-08-06,752.526611328125,765.5879962054574,747.8902852401388,749.3858664484757,842038
2020-08-07,751.4298706054688,767.2331542488291,740.1132696988522,754.6702965330954,744053
2020-08-10,748.937255859375,765.7375940960321,741.5091902039086,755.6673714324846,529715
2020-08-11,764.5908813476562,816.3878519207409,748.8374393752839,752.725974550299,6007634
2020-08-12,755.7669677734375,776.6054217019426,748.787589443076,753.1746515928717,922188
2020-08-13,771.0220336914062,782.6377399607433,755.2685888281746,763.5441268713253,1038906
2020-08-14,738.4682006835938,779.5966854929974,673.1611520771467,771.7199331509929,997328
2020-08-17,736.324462890625,753.7230693439454,731.9374004486613,748.5383757821756,549368
2020-08-18,781.4411010742188,791.5113225003083,737.072196451823,741.4592585543792,1630722
2020-08-19,778.9485473632812,795.1506771484375,765.7874205359602,785.5789817405796,1377908
2020-08-20,766.8342895507812,773.165619645088,758.9077580823545,768.9281396892371,832902
2020-08-21,793.4556884765625,803.5259720072947,774.1128742828599,775.4090325199841,1867968
2020-08-24,798.4908447265625,811.8513955662037,790.663993471292,797.64337298491,1426771
2020-08-25,790.9131469726562,813.5961272356602,782.6874508333251,810.5551244703718,1135025
2020-08-26,777.2535400390625,797.3940457700652,767.7316852053144,790.6639303478108,709156
2020-08-27,779.7461547851562,792.6580176845475,774.760884233681,785.5789578435941,391955
2020-08-28,772.9163208007812,791.262079022848,770.2741031951365,784.5818654937394,274828
2020-08-31,735.9255981445312,779.0980888470664,718.8759975787706,773.7139724287462,641886
2020-09-01,722.9140625,743.6029350597196,716.8818973705257,736.3244523061659,302856
2020-09-02,813.346923828125,837.4258059213544,723.5622096851016,723.5622096851016,2095168
2020-09-03,772.8665161132812,856.4694787220657,764.7405007914136,841.9125130882557,3613435
2020-09-04,790.7137451171875,802.6285538327317,753.0251121517647,762.7463896671301,1380767
2020-09-07,799.5875854492188,805.3206467951247,781.0423417996832,792.1595198821476,727530
2020-09-08,785.1801147460938,805.6197240823413,780.1948441762773,798.6403452845982,313842
2020-09-09,770.224365234375,782.4881196553846,764.7405671647451,781.4910654609065,211266
2020-09-10,775.1099243164062,787.6727823252745,768.9780169219848,777.7022407768534,232426
2020-09-11,778.6495361328125,791.8605050712761,769.4766247742785,773.6642648352791,333887
