Price,Close,High,Low,Open,Volume
Ticker,SMSPHARMA.NS,SMSPHARMA.NS,SMSPHARMA.NS,SMSPHARMA.NS,SMSPHARMA.NS
Date,,,,,
2007-02-28,30.394468307495117,32.87763769401635,21.15133728401564,30.45792296604486,30790996
2007-03-01,32.001976013183594,32.573061211990684,28.858888633582218,28.858888633582218,11391136
2007-03-02,29.23114776611328,33.33027515770737,27.750553809983472,32.15003143794767,9232887
2007-03-05,27.78862953186035,29.696481611160387,25.842705672972322,25.842705672972322,5256562
2007-03-06,24.66246223449707,31.295520749263247,23.52874993420533,28.76582274996388,11026475
2007-03-07,23.841785430908203,26.30380101986942,22.589627217925386,24.958576200335937,3408103
2007-03-08,22.90266990661621,25.297000266317728,21.329009207402873,21.329009207402873,2027277
2007-03-09,21.9931640625,23.266474676882464,21.620900957798774,23.266474676882464,613062
2007-03-12,23.465293884277344,23.943312413960964,21.574363377186064,21.574363377186064,924540
2007-03-13,22.670005798339844,24.03638119099424,22.513484514898533,23.647196768520267,576700
2007-03-14,24.154827117919922,26.092289251827335,21.235943325139807,22.420417858388664,1130462
2007-03-15,24.379030227661133,25.796169474093098,24.12944406766347,24.5355497850034,1010153
2007-03-16,23.875633239746094,24.95858152855759,23.384922322969576,24.527094519168216,303251
2007-03-19,24.31980323791504,24.789361850136714,23.858702749459702,24.40863736316234,372402
2007-03-20,23.52029037475586,24.535554878887112,23.266473397804877,24.535554878887112,180168
2007-03-21,23.236862182617188,24.02792162923474,22.885747833130388,23.604894486437157,320452
2007-03-22,23.080341339111328,23.769876054562246,22.682697076631044,23.435684758522275,322034
2007-03-23,23.012657165527344,23.774104661036812,22.513484762659694,22.779992322097957,459554
2007-03-26,22.71230697631836,23.169175100758316,22.51348316120454,22.868826548512192,169664
2007-03-28,22.179292678833008,22.843442716533023,21.99739022805184,22.843442716533023,206407
2007-03-29,22.856138229370117,23.266474821263433,22.42042215061621,22.42042215061621,113412
2007-03-30,23.609119415283203,24.07021995830771,22.864593408098912,23.17340345757647,276222
2007-04-02,22.889976501464844,23.346846318426476,22.48810151844353,22.48810151844353,164824
2007-04-03,21.972007751464844,23.520285365028965,21.78587454715613,22.928046445566647,653380
2007-04-04,22.120065689086914,22.505020985164062,21.997388843296815,22.48809963012916,80244
2007-04-05,21.967777252197266,22.441566691645825,21.828177347281926,22.014310553835713,192370
2007-04-09,22.36965560913086,22.640393931553547,22.001623308024286,22.001623308024286,335701
2007-04-10,22.458494186401367,22.725001776228737,22.16660540759133,22.16660540759133,608485
2007-04-11,24.002540588378906,24.366342129439676,22.509254135588442,22.509254135588442,894305
2007-04-12,23.672578811645508,24.366342594463678,23.363770402165326,23.520289989438833,140505
2007-04-13,24.65822982788086,24.873973305450466,23.190326325610084,24.154828380218436,284732
2007-04-16,24.967037200927734,25.381602753526963,24.544010119637814,25.29276861512686,249466
2007-04-17,25.838478088378906,27.30638004381124,24.755529821374747,25.199707415997473,896846
2007-04-18,26.172664642333984,26.900269339875813,25.571965860939834,25.571965860939834,471619
2007-04-19,26.777597427368164,26.94680761590244,25.381608266451245,25.381608266451245,553973
2007-04-20,27.175235748291016,27.581341473139002,26.566077161019038,26.566077161019038,315210
2007-04-23,27.33598518371582,27.65748582240248,26.735288144654493,27.65748582240248,199847
2007-04-24,27.644794464111328,28.165117179972693,27.073709386622472,27.36982713373331,269546
2007-04-25,27.33598518371582,28.088974417395615,26.650683071702417,27.750552423751344,203855
2007-04-26,27.221771240234375,27.919765723693953,27.07371319676041,27.835160641184213,123747
2007-04-27,27.226001739501953,27.66594850463107,26.824126750580238,27.242923096206177,155174
2007-04-30,27.767475128173828,28.321640629292595,27.3444497169282,27.412133442360272,332970
2007-05-03,28.46124267578125,28.93503392308779,24.112528269239824,28.5120067530654,276095
2007-05-04,29.2015380859375,29.484965286672153,28.617760625515462,29.104240707976373,325377
2007-05-07,29.645713806152344,30.796345531337067,29.019632176405636,29.281908925960618,514235
2007-05-08,29.628795623779297,30.37332175625138,28.808122529883867,29.992600563824695,247663
2007-05-09,29.514575958251953,30.61867616756293,27.49673782073562,27.49673782073562,241578
2007-05-10,28.81235122680664,29.688017394616526,26.752210513744192,26.752210513744192,109383
2007-05-11,28.99002456665039,29.94606510570566,23.27916421969262,23.27916421969262,175834
2007-05-14,28.550079345703125,30.013752185100874,28.35548627493991,28.36394610330513,81573
2007-05-15,28.368175506591797,29.188846892074412,23.26647208635629,23.26647208635629,100208
2007-05-16,29.332672119140625,29.61187193353509,28.173580534535017,29.104238073336454,166216
2007-05-17,29.023862838745117,30.11527066814471,24.116753265159694,24.116753265159694,80951
2007-05-18,29.26076316833496,30.034901247577558,27.242924861842308,30.034901247577558,125192
2007-05-21,28.884265899658203,29.6076415211959,28.774279639803648,28.774279639803648,62622
2007-05-22,28.512006759643555,29.188849210733714,28.266651307304507,28.34279657233011,42479
2007-05-23,28.770051956176758,29.015405684919934,28.342794058714905,29.015405684919934,81394
2007-05-24,28.880033493041992,29.18884183669044,24.150593955178273,24.150593955178273,102908
2007-05-25,29.12539291381836,29.273452670371242,28.046675477153666,28.046675477153666,123831
2007-05-28,29.311521530151367,30.880951298488558,29.019632828065067,30.034897138871333,423318
2007-05-29,29.30306625366211,30.01798048625681,29.188849207056286,30.01798048625681,141201
2007-05-30,28.774280548095703,29.52303737602963,28.765819019017613,29.188844417839206,93596
2007-05-31,28.592384338378906,29.43420795897573,28.51200830376664,29.43420795897573,58730
2007-06-01,28.359716415405273,29.188847650387444,28.258189968077225,29.10424256125345,71533
2007-06-04,28.02552032470703,28.97310090484329,27.839388820106482,28.351250032299,30836
2007-06-05,28.545846939086914,28.85042627026487,27.496739786639655,27.687102081355405,83556
2007-06-06,28.004371643066406,29.0111745375895,27.839392237793135,28.486622669986552,112178
2007-06-07,27.039875030517578,28.258192507958043,25.961155792511835,25.961155792511835,381229
2007-06-08,27.187931060791016,27.488279623447717,26.828356896360706,26.98910894062184,46750
2007-06-11,27.179468154907227,28.253956425311596,26.819895710520594,28.253956425311596,46708
2007-06-12,26.52800750732422,27.242923347272264,26.41379047581328,27.073713182342896,56157
2007-06-13,26.735288619995117,26.98487307909045,26.566076769246497,26.650683545538804,17042
2007-06-14,26.684528350830078,29.510347429636077,26.616844622002347,29.510347429636077,31195
2007-06-15,26.75221061706543,27.496738400810713,26.66337647238911,26.81989604402891,33852
2007-06-18,26.8875789642334,27.200619799977755,26.405329671654293,27.082172008173735,33146
2007-06-19,28.26241683959961,28.592379044205604,26.396869152801816,27.496738629925385,106831
2007-06-20,28.486623764038086,28.68121682856799,27.720945502650476,27.91976763030936,63139
2007-06-21,28.186275482177734,28.5966120366438,26.633766820323004,26.633766820323004,31711
2007-06-22,27.64902687072754,27.923994217440438,27.58557221308763,27.58557221308763,22441
2007-06-25,27.039875030517578,27.91977041916799,26.48147866910581,26.48147866910581,22969
2007-06-26,28.676982879638672,30.026436781115535,26.904500180020825,26.904500180020825,587900
2007-06-27,28.368175506591797,29.188846892074412,28.173584147006263,28.808122299026206,118411
2007-06-28,28.4189395904541,28.80812403491243,28.177814907973488,28.80812403491243,49555
2007-06-29,28.30048942565918,28.939259991331646,28.004369944154288,28.198961287569418,97171
2007-07-02,28.588151931762695,29.104244022493322,28.25819138683924,28.342796480221008,49840
2007-07-03,28.52046012878418,28.765815510913086,28.34278846184521,28.765815510913086,47362
2007-07-04,27.869001388549805,28.596607769733172,27.49673666920248,28.182040512115748,49998
2007-07-05,28.19473648071289,28.34279624381421,27.36983427436656,27.835163985921366,19963
2007-07-06,27.644794464111328,28.342788849340746,27.58133981024105,28.004366865092447,34896
2007-07-09,28.02552032470703,28.258185130916722,27.66594620468406,27.66594620468406,50779
2007-07-10,27.936681747436523,28.30048489424712,27.581338426527452,28.30048489424712,31395
2007-07-11,28.08474349975586,28.681213211175844,27.073711630952197,27.073711630952197,37248
2007-07-12,27.83938980102539,28.173581048959313,27.665947179491734,28.173581048959313,40001
2007-07-13,27.924001693725586,28.34279812150258,27.750560731698386,27.750560731698386,44462
2007-07-16,27.818239212036133,28.17358259985715,26.22765889984454,27.496738537865543,31258
2007-07-17,27.467124938964844,28.165119378683208,26.350335877618715,26.350335877618715,48828
2007-07-18,27.551727294921875,28.765815308631446,27.251378789948454,28.765815308631446,100398
2007-07-19,27.835161209106445,27.869003923535296,27.496739170326492,27.496739170326492,54871
