Price,Close,High,Low,Open,Volume
Ticker,SOLARWORLD.NS,SOLARWORLD.NS,SOLARWORLD.NS,SOLARWORLD.NS,SOLARWORLD.NS
Date,,,,,
2025-09-30,323.5,388.5,320.5,388.5,9257897
2025-10-01,332.45001220703125,334.0,322.0,323.45001220703125,1182520
2025-10-03,334.45001220703125,342.0,330.20001220703125,332.45001220703125,971242
2025-10-06,318.6499938964844,336.8999938964844,316.0,336.8999938964844,514030
2025-10-07,305.3999938964844,321.5,302.0,319.5,783321
2025-10-08,298.6000061035156,308.8999938964844,295.3500061035156,305.95001220703125,395694
2025-10-09,332.1000061035156,347.0,298.3999938964844,298.3999938964844,4289759
2025-10-10,329.8999938964844,336.70001220703125,325.6499938964844,331.3999938964844,612646
2025-10-13,334.75,344.8999938964844,327.25,327.54998779296875,1239976
2025-10-14,315.5,334.75,313.0,333.6499938964844,576482
2025-10-15,329.45001220703125,331.5,315.5,317.04998779296875,512217
2025-10-16,325.1499938964844,333.3999938964844,322.0,328.8500061035156,366677
2025-10-17,315.29998779296875,341.25,311.1000061035156,328.0,1380717
2025-10-20,309.79998779296875,325.6000061035156,306.8999938964844,325.0,509066
2025-10-21,313.8500061035156,315.0,311.29998779296875,312.0,64479
2025-10-23,316.1499938964844,318.0,310.0,315.04998779296875,289687
2025-10-24,310.3999938964844,319.3999938964844,309.0,316.1499938964844,153142
2025-10-27,299.3999938964844,310.0,298.6000061035156,310.0,316041
2025-10-28,299.54998779296875,304.1000061035156,298.54998779296875,299.95001220703125,251440
2025-10-29,338.3999938964844,350.0,301.29998779296875,302.8999938964844,8493013
2025-10-30,326.1499938964844,342.0,322.79998779296875,334.0,855734
2025-10-31,318.6499938964844,337.8999938964844,316.6000061035156,337.8999938964844,405191
2025-11-03,311.04998779296875,320.0,308.20001220703125,320.0,353043
2025-11-04,309.1000061035156,312.79998779296875,307.3500061035156,312.6499938964844,237705
2025-11-05,309.1000061035156,309.1000061035156,309.1000061035156,309.1000061035156,0
2025-11-06,301.70001220703125,311.95001220703125,300.1000061035156,309.8999938964844,327614
2025-11-07,300.79998779296875,308.3999938964844,299.1000061035156,303.79998779296875,401474
2025-11-10,304.0,308.5,301.3500061035156,303.8999938964844,269589
2025-11-11,302.20001220703125,308.20001220703125,301.0,304.8999938964844,225707
2025-11-12,290.95001220703125,305.8999938964844,276.54998779296875,305.8999938964844,857884
2025-11-13,296.3999938964844,300.0,284.6000061035156,291.0,575075
2025-11-14,300.04998779296875,302.29998779296875,291.20001220703125,296.0,257739
2025-11-17,298.6000061035156,302.45001220703125,296.25,302.45001220703125,107014
2025-11-18,294.8999938964844,299.95001220703125,291.0,299.95001220703125,206485
2025-11-19,304.6000061035156,307.5,293.3999938964844,297.95001220703125,219304
2025-11-20,303.45001220703125,305.95001220703125,300.04998779296875,304.6000061035156,163062
2025-11-21,297.29998779296875,303.3999938964844,293.1499938964844,301.29998779296875,136358
2025-11-24,289.54998779296875,297.45001220703125,288.1000061035156,296.29998779296875,143552
2025-11-25,290.1499938964844,292.20001220703125,286.5,286.5,87813
2025-11-26,294.54998779296875,299.79998779296875,292.0,299.79998779296875,69297
2025-11-27,299.6499938964844,302.75,294.79998779296875,296.0,115039
2025-11-28,300.6000061035156,304.6499938964844,297.04998779296875,303.0,172909
2025-12-01,299.3500061035156,303.20001220703125,298.0,301.0,62184
