Price,Close,High,Low,Open,Volume
Ticker,UFBL.NS,UFBL.NS,UFBL.NS,UFBL.NS,UFBL.NS
Date,,,,,
2025-10-03,235.3800048828125,237.8000030517578,231.39999389648438,236.97999572753906,78252
2025-10-06,233.27999877929688,235.74000549316406,231.64999389648438,235.3800048828125,28084
2025-10-07,228.9199981689453,234.27999877929688,227.60000610351562,233.27999877929688,131922
2025-10-08,224.25999450683594,229.83999633789062,220.0500030517578,228.9199981689453,93614
2025-10-09,224.39999389648438,225.08999633789062,222.33999633789062,224.25999450683594,30644
2025-10-10,224.8699951171875,227.77999877929688,223.7100067138672,225.0,39059
2025-10-13,230.32000732421875,234.0,222.75,226.10000610351562,96719
2025-10-14,223.77000427246094,231.49000549316406,222.0,230.02000427246094,29581
2025-10-15,219.3699951171875,224.89999389648438,217.35000610351562,224.89999389648438,101788
2025-10-16,217.4199981689453,220.0,212.82000732421875,217.3000030517578,81376
2025-10-17,215.27000427246094,221.0,212.5,216.0,41213
2025-10-20,212.02999877929688,217.00999450683594,210.4600067138672,216.39999389648438,87369
2025-10-21,218.5500030517578,221.0,213.91000366210938,215.0,14705
2025-10-23,211.3800048828125,218.94000244140625,210.10000610351562,218.57000732421875,121469
2025-10-24,211.7899932861328,214.89999389648438,209.0,213.5,82814
2025-10-27,210.9600067138672,213.05999755859375,210.5,212.89999389648438,77926
2025-10-28,206.77000427246094,211.7899932861328,205.10000610351562,210.5,81931
2025-10-29,207.91000366210938,210.0,206.1300048828125,207.89999389648438,109686
2025-10-30,207.39999389648438,210.5,206.25999450683594,208.89999389648438,48584
2025-10-31,203.99000549316406,209.27999877929688,203.0,208.4499969482422,54289
2025-11-03,202.9199981689453,205.10000610351562,200.64999389648438,203.60000610351562,69128
2025-11-04,199.99000549316406,204.24000549316406,199.0,204.0,90153
2025-11-06,194.32000732421875,200.19000244140625,192.39999389648438,200.0,112314
2025-11-07,197.14999389648438,201.99000549316406,192.41000366210938,194.60000610351562,111560
2025-11-10,196.19000244140625,197.75,193.50999450683594,197.0,41773
2025-11-11,193.83999633789062,196.25999450683594,191.0,196.1999969482422,131120
2025-11-12,194.85000610351562,203.0,194.0,194.0,101723
2025-11-13,193.2100067138672,198.13999938964844,192.0500030517578,195.0,72481
2025-11-14,189.8300018310547,193.67999267578125,188.39999389648438,193.0,92563
2025-11-17,191.49000549316406,193.89999389648438,187.11000061035156,189.8300018310547,184509
2025-11-18,189.5399932861328,192.75,189.0,192.0,113783
2025-11-19,184.4600067138672,189.72999572753906,183.3000030517578,189.5,57845
2025-11-20,181.6999969482422,185.39999389648438,179.0,185.39999389648438,177863
2025-11-21,177.5500030517578,182.0,176.82000732421875,181.60000610351562,277505
2025-11-24,181.4600067138672,182.99000549316406,174.0,177.5500030517578,151234
2025-11-25,190.00999450683594,192.39999389648438,180.0,181.4499969482422,137148
2025-11-26,190.61000061035156,193.57000732421875,188.10000610351562,189.3000030517578,52291
2025-11-27,188.39999389648438,191.7899932861328,187.0,190.85000610351562,28854
2025-11-28,185.1199951171875,188.3800048828125,183.35000610351562,187.5,23275
2025-12-01,185.64999389648438,189.3800048828125,184.94000244140625,185.0,23774
